ds,y,yhat_prophet,train
2015-07-02,462.6,482.98297605431304,True
2015-07-03,424.376,477.8073504309634,True
2015-07-04,396.57199999999995,444.9725346515434,True
2015-07-05,422.88199999999995,452.87014269147085,True
2015-07-06,507.533,496.8910678799082,True
2015-07-07,556.97,517.3347630085489,True
2015-07-08,541.464,520.7476577932478,True
2015-07-09,489.296,499.9308638222791,True
2015-07-10,494.03,509.4074903484276,True
2015-07-11,468.524,485.85546089276005,True
2015-07-12,480.017,486.7722050870265,True
2015-07-13,546.655,519.1268349365203,True
2015-07-14,532.54,517.82041014947,True
2015-07-15,508.42900000000003,523.4172677321893,True
2015-07-16,460.404,507.72033951028607,True
2015-07-17,468.983,506.3527742755047,True
2015-07-18,485.589,494.0838757547888,True
2015-07-19,547.318,516.4742584539594,True
2015-07-20,622.939,558.9489606629481,True
2015-07-21,575.758,548.0573803421782,True
2015-07-22,509.406,530.938317863852,True
2015-07-23,494.119,528.5827995661261,True
2015-07-24,492.282,528.6578015588101,True
2015-07-25,470.82,498.2745307367493,True
2015-07-26,491.19800000000004,499.83883133763436,True
2015-07-27,558.068,528.2196997200784,True
2015-07-28,593.878,554.188779104927,True
2015-07-29,615.851,561.3547747211588,True
2015-07-30,596.964,539.5987752853107,True
2015-07-31,555.298,539.9876146025942,True
2015-08-01,503.157,509.76931553677383,True
2015-08-02,487.181,497.86448443367533,True
2015-08-03,561.226,542.2801674938609,True
2015-08-04,555.965,543.60288587553,True
2015-08-05,522.326,538.1167435232085,True
2015-08-06,492.04,525.9650302857905,True
2015-08-07,489.663,522.8404685040263,True
2015-08-08,443.86,487.7884106823404,True
2015-08-09,445.809,482.1399318655285,True
2015-08-10,502.788,519.6132847956422,True
2015-08-11,509.155,526.5983742617227,True
2015-08-12,504.30800000000005,532.3008676299671,True
2015-08-13,491.91,526.8295534162035,True
2015-08-14,505.154,527.354456118153,True
2015-08-15,505.949,510.8127078987202,True
2015-08-16,519.749,509.09231222188225,True
2015-08-17,596.145,550.7991041587954,True
2015-08-18,596.304,543.5804161765803,True
2015-08-19,595.99,540.0210853245079,True
2015-08-20,591.069,540.6598577551574,True
2015-08-21,534.038,526.1377681658208,True
2015-08-22,460.64599999999996,486.30599692136377,True
2015-08-23,461.04900000000004,478.3708244702639,True
2015-08-24,532.5830000000001,520.6018285539049,True
2015-08-25,542.589,534.7254038667809,True
2015-08-26,491.58099999999996,513.5800466347218,True
2015-08-27,469.577,504.1784448426383,True
2015-08-28,460.43800000000005,495.286112523016,True
2015-08-29,441.659,473.1344109416479,True
2015-08-30,471.68699999999995,476.40062086100363,True
2015-08-31,561.9730000000001,521.9347454996207,True
2015-09-01,567.071,521.0772029431513,True
2015-09-02,566.971,519.8244353280215,True
2015-09-03,580.533,524.5382956441736,True
2015-09-04,550.064,503.1587607897415,True
2015-09-05,471.465,449.745069806082,True
2015-09-06,455.92800000000005,447.10174763326717,True
2015-09-07,507.17800000000005,499.3182161980671,True
2015-09-08,600.813,520.9495819260106,True
2015-09-09,597.161,510.3880252276753,True
2015-09-10,525.438,480.53318765058987,True
2015-09-11,481.11800000000005,470.75442611479735,True
2015-09-12,439.54400000000004,441.7910823876534,True
2015-09-13,420.85400000000004,423.9829753441861,True
2015-09-14,421.47900000000004,452.51342673754755,True
2015-09-15,444.579,473.3852922375779,True
2015-09-16,475.415,482.6545506983123,True
2015-09-17,493.03,485.46962495727075,True
2015-09-18,490.272,474.0481878307725,True
2015-09-19,456.849,438.9601249718116,True
2015-09-20,416.26800000000003,423.13089717709596,True
2015-09-21,417.55800000000005,439.23711832982434,True
2015-09-22,417.913,444.7746083783069,True
2015-09-23,419.94199999999995,449.67883924970175,True
2015-09-24,432.027,454.1307452771804,True
2015-09-25,424.73800000000006,437.8561916925032,True
2015-09-26,378.67699999999996,398.61843224316283,True
2015-09-27,368.93,389.2255697212493,True
2015-09-28,433.494,439.72416837288483,True
2015-09-29,474.07599999999996,461.24086409213106,True
2015-09-30,460.244,444.48409187426495,True
2015-10-01,399.333,420.0342187466312,True
2015-10-02,394.031,433.77814461614906,True
2015-10-03,371.774,401.34698512448136,True
2015-10-04,356.587,375.47444159097546,True
2015-10-05,392.226,407.50368533348563,True
2015-10-06,396.728,417.59143253868103,True
2015-10-07,400.211,407.67036721965576,True
2015-10-08,399.527,400.80108205596855,True
2015-10-09,410.04400000000004,400.1786847500856,True
2015-10-10,359.395,365.67164700103393,True
2015-10-11,352.546,358.07298089839514,True
2015-10-12,392.355,392.92499128344787,True
2015-10-13,405.975,399.0602883496822,True
2015-10-14,397.351,390.15160149813966,True
2015-10-15,393.02,394.5842361646332,True
2015-10-16,389.661,386.31616456853976,True
2015-10-17,365.98900000000003,380.288806491998,True
2015-10-18,371.98900000000003,399.2630079477984,True
2015-10-19,410.719,429.1195852127991,True
2015-10-20,403.842,403.1420331753585,True
2015-10-21,399.20300000000003,395.1613535087258,True
2015-10-22,401.26,398.19257625661606,True
2015-10-23,391.76300000000003,395.2905142255127,True
2015-10-24,372.88,383.32505292352664,True
2015-10-25,363.24199999999996,352.12256050537314,True
2015-10-26,397.22,408.11389593643014,True
2015-10-27,404.51,412.8774923542003,True
2015-10-28,413.975,398.0890050278856,True
2015-10-29,404.834,398.27277023614374,True
2015-10-30,392.72900000000004,401.2905552462442,True
2015-10-31,368.44800000000004,387.0082990276493,True
2015-11-01,377.385,352.1768918378452,True
2015-11-02,396.3,387.57509914190933,True
2015-11-03,398.881,404.5940573072386,True
2015-11-04,398.103,394.36368601150974,True
