ds,"Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,Weekend,"Electricity demand, daily sum, (GWh)",Month,dayOfWeek,yhat_lgbm
2015-07-02,26.67083333333333,32.8,False,False,64.932,7,3,68.23355712059826
2015-07-03,25.39166666666667,36.1,True,False,59.337,7,4,61.900778386738956
2015-07-04,25.279166666666665,37.2,False,True,59.545,7,5,60.67705955263728
2015-07-05,22.40625,31.7,False,True,53.021,7,6,51.599543307489604
2015-07-06,22.61875,32.8,False,False,55.365,7,0,56.70296019035087
2015-07-07,22.475000000000005,31.1,False,False,54.404,7,1,56.465575935982386
2015-07-08,20.116666666666664,27.8,False,False,50.337,7,2,51.32141028201136
2015-07-09,18.413194444444443,23.3,False,False,45.658,7,3,48.30590555045332
2015-07-10,20.291666666666668,25.6,False,False,46.958,7,4,50.6043729060256
2015-07-11,21.79166666666666,29.4,False,True,47.176,7,5,51.233355778620215
2015-07-12,22.466666666666665,29.4,False,True,46.838,7,6,50.64235152273199
2015-07-13,23.59166666666667,32.8,False,False,54.91,7,0,61.7039991544834
2015-07-14,22.570833333333336,31.1,False,False,55.486,7,1,56.5778374834576
2015-07-15,23.712499999999995,34.4,False,False,57.829,7,2,62.72739348799849
2015-07-16,24.2125,34.4,False,False,61.518,7,3,62.306033368479476
2015-07-17,24.420833333333334,36.1,False,False,60.627,7,4,62.50796516278468
2015-07-18,23.28333333333333,33.3,False,True,53.005,7,5,55.172404152466946
2015-07-19,26.63333333333333,34.4,False,True,56.924,7,6,62.78258538814891
2015-07-20,28.225000000000005,36.7,False,False,69.645,7,0,73.00861633403501
2015-07-21,23.329166666666666,32.8,False,False,63.428,7,1,59.90015278283872
2015-07-22,21.312500000000004,29.4,False,False,54.049,7,2,53.23686068948021
2015-07-23,20.536458333333336,28.3,False,False,50.267,7,3,52.14287694294653
2015-07-24,22.2,31.7,False,False,52.205,7,4,54.682170549427276
2015-07-25,22.0,31.7,False,True,50.051,7,5,52.51466926995024
2015-07-26,22.55416666666667,31.7,False,True,50.17,7,6,51.82136512921847
2015-07-27,26.1875,36.7,False,False,58.771,7,0,66.69677282236124
2015-07-28,28.15,40.0,False,False,64.873,7,1,73.37748613955158
2015-07-29,28.745833333333334,41.1,False,False,70.865,7,2,73.49489898175366
2015-07-30,26.0625,37.2,False,False,67.734,7,3,64.49826244396405
2015-07-31,23.63333333333333,32.8,False,False,60.733,7,4,61.40086363701624
2015-08-01,23.28333333333333,32.8,False,True,53.458,8,5,54.267720393956104
2015-08-02,23.09583333333333,32.2,False,True,52.145,8,6,53.694363064616844
2015-08-03,22.2,31.1,False,False,53.871,8,0,57.19801700383225
2015-08-04,20.458333333333336,26.1,False,False,48.808,8,1,53.32369101964612
2015-08-05,23.23333333333333,32.8,False,False,53.65,8,2,58.133319301595385
2015-08-06,24.054166666666674,31.7,False,False,55.447,8,3,60.33691705314237
2015-08-07,23.366666666666664,31.7,False,False,55.601,8,4,56.96040038369019
2015-08-08,21.70833333333333,29.4,False,True,49.355,8,5,52.659076360351406
2015-08-09,23.7,35.0,False,True,52.366,8,6,57.606187317448814
2015-08-10,22.825000000000003,31.7,False,False,54.998,8,0,56.42802853427051
2015-08-11,22.525,31.7,False,False,54.102,8,1,56.360551853577086
2015-08-12,23.212499999999995,32.2,False,False,54.62,8,2,57.352112644506555
2015-08-13,23.354166666666668,32.2,False,False,55.891,8,3,58.71813940523031
2015-08-14,23.558333333333334,33.3,False,False,55.133,8,4,58.69041362573184
2015-08-15,25.96666666666667,37.8,False,True,55.852,8,5,59.2082749107165
2015-08-16,28.77083333333333,40.0,False,True,60.917,8,6,68.3417302485716
2015-08-17,28.316666666666663,40.0,False,False,68.574,8,0,72.85422801171693
2015-08-18,23.637499999999992,34.4,False,False,61.732,8,1,62.44137154140738
2015-08-19,21.72083333333333,31.1,False,False,55.602,8,2,58.598972949368886
2015-08-20,20.954166666666666,29.4,False,False,53.044,8,3,54.30251539337832
2015-08-21,21.05208333333333,30.0,False,False,53.02,8,4,54.045882465807274
2015-08-22,21.670833333333334,31.7,False,True,50.725,8,5,52.7723119170327
2015-08-23,22.13333333333333,31.7,False,True,49.543,8,6,51.84474222155227
2015-08-24,23.10833333333333,33.3,False,False,55.077,8,0,58.168751743527665
2015-08-25,23.83333333333333,34.4,False,False,57.578,8,1,62.62934118238491
2015-08-26,25.516666666666666,36.7,False,False,60.256,8,2,64.59503680167116
2015-08-27,27.35833333333333,38.3,False,False,65.093,8,3,69.42853928260689
2015-08-28,27.52083333333333,37.8,False,False,66.47,8,4,68.70635388799025
2015-08-29,23.38333333333333,28.9,False,True,54.794,8,5,54.455999016450534
2015-08-30,22.433333333333334,31.7,False,True,48.864,8,6,51.72832255301641
2015-08-31,23.77083333333334,33.3,False,False,56.382,8,0,61.529678131758935
2015-09-01,23.425,32.2,False,False,56.854,9,1,56.25883286506449
2015-09-02,21.250000000000004,28.9,False,False,52.261,9,2,51.65061864412439
2015-09-03,20.929166666666667,27.8,False,False,49.578,9,3,50.962396775396165
2015-09-04,19.8375,27.2,False,False,46.917,9,4,48.5020163413731
2015-09-05,20.375,30.0,False,True,43.077,9,5,46.4078275747494
2015-09-06,20.820833333333333,32.2,False,True,43.967,9,6,46.8397631850058
2015-09-07,23.254166666666663,35.0,True,False,49.438,9,0,51.3160002880906
2015-09-08,25.02777777777777,37.8,False,False,57.555,9,1,60.575609076409066
2015-09-09,27.65,40.6,False,False,63.764,9,2,67.64220297474486
2015-09-10,28.775,40.6,False,False,67.884,9,3,71.34999508923735
2015-09-11,27.341666666666665,37.8,False,False,64.633,9,4,65.79825523486123
2015-09-12,23.466666666666665,27.8,False,True,52.499,9,5,52.20118940465369
2015-09-13,25.65,33.9,False,True,54.656,9,6,57.090352891715675
2015-09-14,19.570833333333333,25.6,False,False,49.552,9,0,48.86571112735641
2015-09-15,18.602083333333336,25.0,False,False,46.158,9,1,47.19803274451148
2015-09-16,17.620833333333334,22.8,False,False,44.332,9,2,46.768411144455705
2015-09-17,19.815277777777776,27.2,False,False,46.38,9,3,49.19969667350454
2015-09-18,20.97083333333333,31.7,False,False,47.772,9,4,50.11583683709179
2015-09-19,22.66666666666666,35.0,False,True,48.315,9,5,49.8429146491496
2015-09-20,24.04583333333333,37.2,False,True,50.667,9,6,53.88322937240017
2015-09-21,26.024999999999995,38.3,False,False,57.678,9,0,60.65523929147533
2015-09-22,20.966666666666672,27.2,False,False,51.64,9,1,50.94320720005503
2015-09-23,20.67083333333333,32.2,False,False,48.749,9,2,50.962231656398934
2015-09-24,24.120833333333326,35.0,False,False,53.451,9,3,57.35578870512313
2015-09-25,24.0625,35.6,False,False,54.718,9,4,56.70895817941585
2015-09-26,24.375,35.0,False,True,52.571,9,5,54.970111957289284
2015-09-27,23.40416666666667,31.7,False,True,49.371,9,6,51.854005179129715
2015-09-28,21.387500000000003,31.1,False,False,50.971,9,0,52.16919799965689
2015-09-29,18.59166666666667,25.6,False,False,45.854,9,1,47.14914403718868
2015-09-30,16.662499999999998,18.9,False,False,43.635,9,2,46.34131108570003
2015-10-01,19.520833333333336,25.6,False,False,44.028,10,3,45.36156278114568
