,"Electricity demand, daily sum, (GWh)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,yhat_rf,yhat_svm,yhat_nn
2015-07-02,462.6,23.27083333333333,26.1,False,477.6792555920068,497.87521728609073,499.8176391134936
2015-07-03,424.376,22.970833333333346,26.7,True,460.72828151203646,436.82685093612565,442.9809370981504
2015-07-04,396.572,22.133333333333336,23.3,False,434.802913339226,454.7277239968359,446.6389444804788
2015-07-05,422.882,23.97916666666666,28.3,False,453.26963829883084,467.57478530316587,460.22765929176074
2015-07-06,507.533,24.89097222222222,28.3,False,506.33367020879183,503.94072899561496,525.4917825699977
2015-07-07,556.97,26.56888888888889,29.4,False,552.2673579469363,530.4843610840603,551.0953495281217
2015-07-08,541.464,26.691666666666663,29.4,False,554.382492006296,516.3853822919411,548.3326834474706
2015-07-09,489.296,23.057152777777777,25.6,False,480.173356176355,496.5333806720418,496.7323432727641
2015-07-10,494.03,25.156597222222228,28.3,False,507.31352696116903,501.35970720971153,526.143231169971
2015-07-11,468.524,25.883333333333336,30.6,False,505.0354777953422,477.5585067779067,498.66603040206786
2015-07-12,480.017,26.716666666666672,31.1,False,501.7166242349751,479.51679101941045,500.0752465693976
2015-07-13,546.655,25.887499999999992,30.0,False,531.3829308438621,509.0657533784315,539.9367749099699
2015-07-14,532.54,24.23145833333333,25.825000000000003,False,494.58859695268177,518.9727291577736,517.1767804591927
2015-07-15,508.429,24.859722222222217,26.7,False,509.9820447222414,507.9290963994707,521.7401690816005
2015-07-16,460.404,22.20416666666668,26.1,False,456.96423224091586,495.75222932741207,484.193804857098
2015-07-17,468.983,22.75833333333333,26.1,False,467.7747972322258,492.3729261545361,491.2110838448408
2015-07-18,485.589,25.472916666666663,28.9,False,493.15005858706223,473.12903319297595,492.806009489438
2015-07-19,547.318,29.925000000000008,33.9,False,573.4355886219414,492.2141348566625,546.8192919367716
2015-07-20,622.939,30.9,33.9,False,594.6657057780156,525.2296565855256,613.009046020563
2015-07-21,575.758,27.89583333333334,30.6,False,576.3339547577114,535.237992637298,570.4246255455196
2015-07-22,509.406,25.07083333333333,29.4,False,507.59246661021956,513.1677379328012,524.5917790500566
2015-07-23,494.119,24.72083333333333,28.9,False,506.3815536663694,505.94300448853534,520.8067701988401
2015-07-24,492.282,25.649999999999995,30.0,False,518.2976675814834,505.51808339087376,533.2187782503345
2015-07-25,470.82,25.60833333333333,30.6,False,487.1561947122462,476.94411969315405,494.6380106328408
2015-07-26,491.198,26.85416666666667,30.6,False,506.4975751072972,478.81527559778345,502.1338133481079
2015-07-27,558.068,25.68055555555556,29.4,False,531.8286722395586,507.5568747779368,536.9590565888718
2015-07-28,593.878,28.64999999999999,35.0,False,596.9316584322503,543.7082935347252,581.0790639415608
2015-07-29,615.851,29.77083333333333,34.4,False,597.8761583850196,530.3681867511075,592.9887298013336
2015-07-30,596.964,26.36909722222222,28.3,False,555.2132367931456,508.1274855301761,545.0029276693833
2015-07-31,555.298,27.37916666666668,31.7,False,557.633403516349,512.0820791649555,558.3949848744851
2015-08-01,503.157,27.379166666666677,31.1,False,545.7579745496427,486.59052743603837,521.7580588033452
2015-08-02,487.181,26.47500000000001,31.1,False,499.53725960231947,479.09067731324404,497.7620705955644
2015-08-03,561.226,27.854166666666668,31.7,False,570.2954977414832,520.294638330108,569.8183248551522
2015-08-04,555.965,26.86875000000001,31.7,False,552.2456970365067,525.4400481039461,556.5091558213509
