ds,y,yhat_prophet,train
2015-07-02,64.932,57.94867523554718,True
2015-07-03,59.336999999999996,56.66655813676759,True
2015-07-04,59.545,54.60583621189512,True
2015-07-05,53.021,50.123084929706245,True
2015-07-06,55.365,54.66200602794431,True
2015-07-07,54.403999999999996,54.18569271643454,True
2015-07-08,50.336999999999996,51.755173877406484,True
2015-07-09,45.658,49.62691278512798,True
2015-07-10,46.958,50.73769166377903,True
2015-07-11,47.176,50.41172872955977,True
2015-07-12,46.838,50.559758102495834,True
2015-07-13,54.91,56.2535573150196,True
2015-07-14,55.486000000000004,55.45848221857881,True
2015-07-15,57.82899999999999,58.2232720470352,True
2015-07-16,61.518,57.69953739116612,True
2015-07-17,60.626999999999995,57.90194737033116,True
2015-07-18,53.005,53.0007138785263,True
2015-07-19,56.924,57.332292898325925,True
2015-07-20,69.645,62.59973140177757,True
2015-07-21,63.428000000000004,56.5558286189066,True
2015-07-22,54.049,54.527468498730826,True
2015-07-23,50.266999999999996,53.926376412624116,True
2015-07-24,52.205,55.93231287856307,True
2015-07-25,50.051,53.10272850196507,True
2015-07-26,50.17,53.06207744897101,True
2015-07-27,58.771,61.940758312710486,True
2015-07-28,64.873,66.18897905745617,True
2015-07-29,70.865,66.08871617236721,True
2015-07-30,67.734,61.17891813274764,True
2015-07-31,60.733000000000004,56.8194963484004,True
2015-08-01,53.458,54.00039736066933,True
2015-08-02,52.145,53.14623814099315,True
2015-08-03,53.871,55.90024529503277,True
2015-08-04,48.808,53.38165737330007,True
2015-08-05,53.65,58.426859813524274,True
2015-08-06,55.446999999999996,58.20204234415404,True
2015-08-07,55.601000000000006,55.791845921587004,True
2015-08-08,49.355,51.80785677167758,True
2015-08-09,52.36600000000001,54.38983247238305,True
2015-08-10,54.998000000000005,55.64251513253829,True
2015-08-11,54.102,56.526061028688595,True
2015-08-12,54.62,57.57646327736734,True
2015-08-13,55.891000000000005,57.01420910687207,True
2015-08-14,55.133,57.44672781679043,True
2015-08-15,55.852,58.81369450426608,True
2015-08-16,60.917,61.906539928774095,True
2015-08-17,68.574,63.63550076160602,True
2015-08-18,61.732,57.82388337167419,True
2015-08-19,55.602,55.58847937491597,True
2015-08-20,53.044,54.05709379936017,True
2015-08-21,53.02,53.90533910719912,True
2015-08-22,50.725,52.39971851153801,True
2015-08-23,49.543,51.731512084966646,True
2015-08-24,55.077,56.458865342937436,True
2015-08-25,57.578,58.11476770936112,True
2015-08-26,60.256,60.32038319920268,True
2015-08-27,65.093,62.19818065785188,True
2015-08-28,66.47,61.23761502377947,True
2015-08-29,54.794,51.380673151320465,True
2015-08-30,48.864,51.89211421743027,True
2015-08-31,56.382,57.23646104117637,True
2015-09-01,56.854,56.249922083886005,True
2015-09-02,52.261,52.99331966253599,True
2015-09-03,49.578,52.495014240272845,True
2015-09-04,46.917,51.40557635922277,True
2015-09-05,43.077,50.44491826249943,True
2015-09-06,43.967,51.51900858060249,True
2015-09-07,49.438,57.11703701859026,True
2015-09-08,57.555,59.950975173585014,True
2015-09-09,63.763999999999996,62.909703925354876,True
2015-09-10,67.884,63.357344660683395,True
2015-09-11,64.633,59.412448590136655,True
2015-09-12,52.498999999999995,49.208359704421085,True
2015-09-13,54.656000000000006,52.028257383381565,True
2015-09-14,49.552,48.091498924885926,True
2015-09-15,46.158,48.50018407022173,True
2015-09-16,44.332,47.64845552309535,True
2015-09-17,46.38,49.15826573545496,True
2015-09-18,47.772,51.03537813142279,True
2015-09-19,48.315,50.255455098611975,True
2015-09-20,50.667,51.391168607164275,True
2015-09-21,57.678000000000004,56.78791987469212,True
2015-09-22,51.64,47.897034944744036,True
2015-09-23,48.748999999999995,49.68585884646159,True
2015-09-24,53.451,52.4010955523046,True
2015-09-25,54.718,51.71101076328128,True
2015-09-26,52.571000000000005,48.86817168053935,True
2015-09-27,49.371,46.11541847245153,True
2015-09-28,50.971000000000004,47.761069733003474,True
2015-09-29,45.854,44.92533649456008,True
2015-09-30,43.635,43.39884171336725,True
2015-10-01,44.028,44.00905794190914,True
2015-10-02,45.803000000000004,48.16600997960397,True
2015-10-03,42.059,42.091248466213784,True
2015-10-04,39.942,40.13924065987997,True
2015-10-05,44.835,44.20119492143729,True
2015-10-06,46.591,44.931077226341685,True
2015-10-07,47.698,45.87731953123374,True
2015-10-08,50.575,47.3928487815515,True
2015-10-09,50.784,47.53347296796353,True
2015-10-10,46.361999999999995,43.01899545785722,True
2015-10-11,45.656000000000006,43.15127399387244,True
2015-10-12,51.091,48.37365298526701,True
2015-10-13,53.891000000000005,50.60909230530861,True
2015-10-14,52.965,48.68779721168617,True
2015-10-15,51.148,46.56998979562662,True
2015-10-16,50.855,46.448304814540634,True
2015-10-17,41.718,39.15624028074877,True
2015-10-18,39.658,38.491643947239226,True
2015-10-19,43.173,42.68175488948382,True
2015-10-20,43.953,46.34583682248889,True
2015-10-21,43.888000000000005,45.178098492345164,True
2015-10-22,44.541000000000004,44.947762104631394,True
2015-10-23,43.297,43.57589293443344,True
2015-10-24,40.168,40.51145318026614,True
2015-10-25,39.873000000000005,39.84355162500324,True
2015-10-26,43.407,43.4179572960788,True
2015-10-27,42.69,42.076005530591104,True
2015-10-28,42.98,42.160899329983124,True
2015-10-29,42.806000000000004,43.701015384235205,True
2015-10-30,42.61,43.95167807101775,True
2015-10-31,40.049,41.329565936026185,True
2015-11-01,40.714,37.57996307785121,True
2015-11-02,41.068999999999996,40.94551755045962,True
2015-11-03,41.343999999999994,42.845290241831776,True
2015-11-04,42.135,43.57997436532119,True
