ds,"Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,Weekend,"Electricity demand, daily sum, (GWh)",Month,dayOfWeek,yhat_lgbm
2015-10-18,5.945833333333336,9.4,False,True,371.989,10,6,375.27838651441016
2015-10-19,6.866666666666666,11.1,False,False,410.719,10,0,408.7621220790772
2015-10-20,14.716666666666663,20.6,False,False,403.842,10,1,394.4436422508699
2015-10-21,18.375,24.4,False,False,399.203,10,2,399.38807441488495
2015-10-22,19.05833333333333,23.3,False,False,401.26,10,3,408.01035358664467
2015-10-23,12.94166666666667,18.3,False,False,391.763,10,4,387.4572717192731
2015-10-24,9.816666666666668,13.3,False,True,372.88,10,5,370.49120248100377
2015-10-25,14.822222222222225,20.0,False,True,363.242,10,6,359.02069350730795
2015-10-26,10.737499999999995,14.4,False,False,397.22,10,0,397.26844590727615
2015-10-27,11.241666666666667,15.0,False,False,404.51,10,1,398.38033492737077
2015-10-28,15.754930555555552,20.0,False,False,413.975,10,2,394.452921000034
2015-10-29,18.892222222222227,21.7,False,False,404.834,10,3,402.7588645361714
2015-10-30,12.320833333333333,15.6,False,False,392.729,10,4,388.18815473807206
2015-10-31,9.7375,12.8,False,True,368.448,10,5,370.49120248100377
2015-11-01,15.200000000000005,17.8,False,True,377.385,11,6,363.76783856149774
2015-11-02,14.883333333333333,17.2,False,False,396.3,11,0,400.97523604411475
2015-11-03,16.791666666666664,22.2,False,False,398.881,11,1,400.31029599911705
2015-11-04,16.483333333333338,21.1,False,False,398.103,11,2,400.30615234952563
2015-11-05,18.05972222222222,21.7,False,False,404.913,11,3,403.71847842070406
2015-11-06,21.180555555555557,22.8,False,False,411.377,11,4,421.3261430033723
2015-11-07,16.41666666666666,22.2,False,True,372.445,11,5,368.6992096053812
2015-11-08,10.533333333333331,13.3,False,True,363.886,11,6,369.51203457303507
2015-11-09,11.133333333333336,14.4,False,False,402.933,11,0,404.2801850950283
2015-11-10,12.476388888888891,13.9,False,False,408.599,11,1,402.1739960394085
2015-11-11,11.743750000000004,14.4,True,False,402.057,11,2,380.13956834789644
2015-11-12,13.37986111111111,15.6,False,False,408.918,11,3,401.4685694454267
2015-11-13,11.904166666666663,13.9,False,False,400.794,11,4,397.2821455257696
2015-11-14,7.295833333333332,8.9,False,True,380.817,11,5,383.24549899293294
2015-11-15,9.54166666666667,14.4,False,True,369.631,11,6,371.8297287592331
2015-11-16,14.579166666666667,18.9,False,False,399.038,11,0,399.2166900587287
2015-11-17,7.358333333333332,10.0,False,False,408.818,11,1,415.837446871639
2015-11-18,11.910416666666665,14.4,False,False,410.095,11,2,404.2102842803839
2015-11-19,15.885416666666664,17.2,False,False,406.918,11,3,401.4685694454267
2015-11-20,12.5375,17.8,False,False,397.269,11,4,393.3780135949113
2015-11-21,8.445833333333335,11.7,False,True,378.777,11,5,379.5690463372656
2015-11-22,9.890625,12.8,False,True,376.021,11,6,371.8297287592331
2015-11-23,3.125,5.6,False,False,422.295,11,0,431.4626839300373
2015-11-24,4.283333333333334,7.2,False,False,429.081,11,1,425.85851889025645
2015-11-25,6.1125,9.4,False,False,419.503,11,2,417.1569063432047
2015-11-26,10.787500000000003,15.6,True,False,368.572,11,3,380.5976485089473
2015-11-27,14.261363636363637,17.8,False,False,370.528,11,4,393.3780135949113
2015-11-28,11.857142857142858,17.0,False,True,373.654,11,5,372.49818748133407
2015-11-29,4.85,8.0,False,True,381.683,11,6,388.2608356968108
2015-11-30,4.7250000000000005,7.2,False,False,426.285,11,0,424.2336293437355
2015-12-01,8.447222222222226,10.3,False,False,426.95,12,1,424.77486200101265
2015-12-02,10.581250000000002,13.9,False,False,419.299,12,2,418.5193976953802
2015-12-03,9.070833333333336,12.2,False,False,417.907,12,3,421.8964633321938
2015-12-04,8.062500000000002,10.6,False,False,417.293,12,4,420.1378155371582
2015-12-05,7.808333333333336,10.6,False,True,388.62,12,5,390.7032253425494
2015-12-06,8.241666666666667,11.7,False,True,390.027,12,6,386.4958051601989
2015-12-07,8.675,12.2,False,False,424.251,12,0,423.82285297423977
2015-12-08,6.488888888888888,8.933333333333332,False,False,424.643,12,1,428.12445092433194
2015-12-09,9.031944444444443,12.8,False,False,422.253,12,2,425.07639713148535
2015-12-10,12.7375,15.0,False,False,409.706,12,3,412.915074457659
2015-12-11,13.274999999999997,15.6,False,False,407.988,12,4,408.1975995576432
2015-12-12,15.891666666666667,18.9,False,True,380.625,12,5,374.5839162572475
2015-12-13,15.785416666666668,18.9,False,True,373.3,12,6,369.99565834280475
2015-12-14,14.701041666666663,19.4,False,False,410.535,12,0,407.2064418008219
2015-12-15,15.455555555555554,20.0,False,False,412.044,12,1,408.2146472828661
2015-12-16,9.802083333333332,11.1,False,False,419.326,12,2,419.3575353548994
2015-12-17,13.561111111111112,15.0,False,False,424.13,12,3,412.915074457659
2015-12-18,8.689583333333335,13.9,False,False,422.145,12,4,422.69672219785576
2015-12-19,3.2375000000000003,3.9,False,True,412.628,12,5,413.512830906077
2015-12-20,3.791666666666668,5.6,False,True,406.427,12,6,398.71222671134143
2015-12-21,9.125000000000002,13.3,False,False,431.984,12,0,424.07233529903255
2015-12-22,14.477430555555555,16.85,False,False,419.394,12,1,413.5153469967354
2015-12-23,13.68152777777778,17.8,False,False,414.416,12,2,408.2105036332747
2015-12-24,20.091666666666665,21.7,False,False,388.312,12,3,430.91316587685907
2015-12-25,15.801388888888892,17.8,True,False,358.028,12,4,379.03089043271297
2015-12-26,11.11904761904762,14.45,False,True,371.31,12,5,385.39844599863534
2015-12-27,11.355892857142855,16.1,False,True,375.553,12,6,380.8101880841926
2015-12-28,4.158333333333334,6.7,False,False,419.961,12,0,436.4626713371088
2015-12-29,4.510555555555558,7.6,False,False,430.55,12,1,438.44783160223983
2015-12-30,6.2444444444444445,8.95,False,False,419.501,12,2,428.537626455057
2015-12-31,7.533333333333331,8.9,False,False,406.198,12,3,426.5381586282842
2016-01-01,3.766666666666666,5.6,True,False,388.811,1,4,412.2102079110591
2016-01-02,2.0875000000000004,4.4,False,True,402.027,1,5,414.81678312181367
2016-01-03,3.775000000000001,6.7,False,True,399.079,1,6,401.5836854702882
2016-01-04,-3.025,2.2,False,False,457.659,1,0,473.2217445262321
2016-01-05,-6.279166666666665,-1.7,False,False,484.99,1,1,499.7819410207402
2016-01-06,0.4624999999999999,4.4,False,False,465.173,1,2,462.9621416214738
2016-01-07,3.920833333333333,7.6,False,False,450.001,1,3,443.1868701692075
2016-01-08,4.769565217391304,6.8,False,False,439.85,1,4,436.8161755978096
2016-01-09,6.6631944444444455,8.3,False,True,398.02,1,5,397.2412759900668
2016-01-10,10.219791666666667,15.0,False,True,388.793,1,6,386.8544404458722
2016-01-11,-0.0956521739130434,3.9,False,False,446.469,1,0,463.09214375313593
2016-01-12,0.7458333333333335,6.7,False,False,462.397,1,1,462.1703793838132
2016-01-13,-3.925000000000001,-2.2,False,False,471.132,1,2,485.7558592020802
2016-01-14,-0.708333333333333,3.3,False,False,466.965,1,3,463.1486888290344
2016-01-15,6.254166666666669,10.6,False,False,434.699,1,4,427.5463152928753
2016-01-16,7.40625,10.6,False,True,400.463,1,5,396.9151399746729
2016-01-17,1.3480555555555556,5.6,False,True,407.489,1,6,415.23401245379307
2016-01-18,-4.133333333333333,-0.6,True,False,459.899,1,0,461.2916692609358
2016-01-19,-5.133333333333334,-2.2,False,False,486.839,1,1,499.7819410207402
2016-01-20,-0.1625000000000001,2.2,False,False,468.092,1,2,463.251878991409
2016-01-21,-1.0875,1.7,False,False,463.755,1,3,463.1486888290344
2016-01-22,-3.4513888888888906,-1.7,False,False,468.907,1,4,477.42086094453754
2016-01-23,-3.448611111111111,-2.7999999999999994,False,True,446.229,1,5,445.2205881493982
2016-01-24,-2.2072916666666664,1.7,False,True,431.661,1,6,431.04928817893983
2016-01-25,0.9875,3.9,False,False,452.172,1,0,451.23967150952757
2016-01-26,6.358333333333334,8.9,False,False,444.559,1,1,432.76847414959923
2016-01-27,5.429166666666666,7.8,False,False,439.843,1,2,439.26761838663964
2016-01-28,3.1208333333333336,5.6,False,False,443.579,1,3,449.54664511503944
2016-01-29,2.745833333333333,4.4,False,False,443.538,1,4,444.7738502401133
2016-01-30,1.0458333333333334,3.9,False,True,416.17,1,5,422.0148849631512
2016-01-31,7.408333333333331,12.8,False,True,391.911,1,6,394.5948674643859
2016-02-01,10.695833333333336,15.0,False,False,417.694,2,0,413.84806966932166
2016-02-02,6.565217391304348,9.4,False,False,422.543,2,1,425.38671342923453
2016-02-03,10.919097222222222,14.4,False,False,426.917,2,2,415.01081145024165
2016-02-04,11.156944444444443,14.4,False,False,416.284,2,3,414.41468256075666
2016-02-05,1.5402083333333334,5.0,False,False,434.564,2,4,441.1444589801851
2016-02-06,1.9291666666666665,4.4,False,True,411.498,2,5,416.24821593570334
2016-02-07,4.145833333333334,8.3,False,True,397.221,2,6,398.87148111377445
2016-02-08,0.931527777777778,3.9,False,False,439.809,2,0,444.1831433107392
2016-02-09,-0.3423611111111111,2.2,False,False,448.363,2,1,455.7217394023093
2016-02-10,1.2847222222222223,3.3,False,False,449.212,2,2,443.86512350910954
2016-02-11,-4.682291666666666,-1.1,False,False,475.846,2,3,492.4594519249357
2016-02-12,-6.062500000000001,-3.3,False,False,482.259,2,4,492.8403997287688
2016-02-13,-8.950000000000001,-5.6,False,True,470.553,2,5,469.37221275258787
2016-02-14,-13.0,-9.4,False,True,487.567,2,6,464.88791584613716
2016-02-15,-4.931111111111112,1.225,True,False,495.704,2,0,469.5160408118171
2016-02-16,8.611036706349207,11.8,False,False,453.549,2,1,421.02771306294363
2016-02-17,3.025,3.9,False,False,446.155,2,2,442.6084907658333
2016-02-18,-0.4833333333333334,1.7,False,False,452.209,2,3,455.6144055903433
2016-02-19,-0.0125000000000001,3.9,False,False,456.108,2,4,454.7416062095122
2016-02-20,10.616666666666664,16.1,False,True,394.841,2,5,384.5001485797733
2016-02-21,10.699999999999998,12.8,False,True,384.934,2,6,379.89360758562424
2016-02-22,6.737499999999998,11.1,False,False,422.201,2,0,424.2550708125786
2016-02-23,2.529513888888889,3.9,False,False,444.322,2,1,442.61263441542474
2016-02-24,7.295625000000001,14.266666666666666,False,False,443.157,2,2,426.9432884337177
2016-02-25,8.934722222222222,15.3,False,False,425.99,2,3,421.9613466595645
2016-02-26,0.5833333333333331,3.3,False,False,443.352,2,4,449.8161563164699
2016-02-27,1.1249999999999998,5.0,False,True,415.999,2,5,416.24821593570334
2016-02-28,9.445833333333333,15.6,False,True,381.811,2,6,382.1267628632175
2016-02-29,10.979166666666666,15.6,False,False,414.256,2,0,413.7781584282717
2016-03-01,7.575,11.1,False,False,423.458,3,1,411.7033642459098
2016-03-02,5.520833333333335,12.333333333333334,False,False,428.883,3,2,422.43991482404766
