,"Electricity demand, daily sum, (GWh)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,yhat_rf,yhat_svm,yhat_nn
2015-07-02,93.135,25.641666666666666,31.7,False,98.42077755688571,96.5531724582271,97.62035808504037
2015-07-03,84.486,23.5,30.6,True,90.78643830644201,83.98616365049953,85.51772679870649
2015-07-04,74.337,21.48958333333333,27.2,False,76.4255058019376,79.10456397623929,80.42186827889424
2015-07-05,70.692,20.29652777777778,25.6,False,71.73378158342663,73.23140113786016,75.50108683336772
2015-07-06,79.813,20.28888888888889,25.6,False,79.09414022958342,83.16936239617435,85.20121649084885
2015-07-07,80.487,20.66458333333333,26.1,False,81.34557355649514,85.03370406084005,86.3516262069854
2015-07-08,77.819,20.59375,23.95,False,81.07603886750658,82.1734622339336,87.22220104833089
2015-07-09,77.551,20.55208333333333,23.9,False,80.81442571048947,81.43280163351426,86.88014181537369
2015-07-10,77.618,20.20833333333333,24.4,False,79.14201854599452,82.67279187964681,85.07964281162911
2015-07-11,74.188,21.70833333333333,27.2,False,76.40205250492905,79.52147157319408,80.99648126544461
2015-07-12,74.887,23.29583333333333,29.4,False,81.46278257182686,81.69295910207124,82.09881963364127
2015-07-13,87.895,24.222916666666663,31.05,False,92.84030469735691,95.21973955255969,93.69812127929845
2015-07-14,87.634,23.262500000000003,30.6,False,89.66480183234228,93.67407085427872,91.65904378300107
2015-07-15,86.326,22.42916666666667,28.3,False,88.90776735254985,88.83112105474686,90.57724178511593
2015-07-16,87.533,22.681249999999995,28.9,False,88.7087989271327,88.88267837993017,90.7877129929648
2015-07-17,87.836,23.558333333333337,31.7,False,88.21116737974097,94.6080977706562,91.41885056787841
2015-07-18,74.173,21.972916666666663,29.4,False,74.32024978610212,81.8919221537854,80.94994478834586
2015-07-19,85.076,26.0,32.2,False,90.09590298329448,89.53733629071719,88.25834665575782
2015-07-20,97.677,25.875,29.4,False,98.76554775587869,97.17665009951803,98.59397587810705
2015-07-21,92.393,23.55416666666667,27.8,False,92.36805747918139,91.89327602131443,93.36897842430785
2015-07-22,90.692,23.38333333333334,27.8,False,91.2456406557875,90.19187117682553,93.25218176321896
2015-07-23,89.53,23.475000000000005,29.4,False,91.96544060824682,90.7366674101001,92.70420440263104
2015-07-24,94.053,25.337499999999995,31.7,False,98.24845567196006,98.11503937783439,96.09236952515482
2015-07-25,88.759,25.95833333333333,32.8,False,91.44176165149311,93.13306339524692,90.2728227332776
2015-07-26,82.274,24.066666666666663,29.4,False,84.77472651960079,83.26244756920846,84.12364634815212
2015-07-27,89.502,22.808333333333334,28.3,False,89.81474329559322,90.07777192450065,90.9092213399306
2015-07-28,92.792,24.02500000000001,31.1,False,90.17214012487555,95.6190229298104,93.49344762316011
2015-07-29,93.37,23.827430555555555,31.1,False,89.83131592390593,93.80942046047687,93.30642048593727
2015-07-30,96.77,25.649999999999995,31.7,False,98.42077755688571,96.56838811960881,97.64224810357561
2015-07-31,98.945,25.89375,32.8,False,97.81430441981136,100.02954260930983,97.18275597958643
2015-08-01,87.918,23.83333333333334,30.6,False,88.75336599953386,85.27335871268087,86.2193178624473
2015-08-02,84.104,24.46666666666667,31.7,False,86.48693657960776,84.00494494066743,85.18602139115403
2015-08-03,94.237,24.579166666666666,30.6,False,96.95293498350334,95.6593439217231,95.57250443198154
2015-08-04,97.204,26.67083333333333,32.8,False,101.86756929686355,99.80239262369736,100.65742208839244
2015-08-05,100.933,28.012500000000003,35.0,False,103.5395389572352,105.47187608288644,103.77211922585889
2015-08-06,96.685,25.79583333333333,31.7,False,98.55993118624218,98.17538085522115,98.81222871800863
2015-08-07,89.672,22.133333333333336,28.3,False,88.4400237488692,88.07874771830652,89.60858610796913
2015-08-08,79.891,22.214583333333337,27.8,False,80.03446510632422,80.51716566067905,82.91096575454739
2015-08-09,74.317,20.9,26.7,False,73.18183313419834,74.81700073800475,77.50242201623185
2015-08-10,83.264,20.852777777777785,27.8,False,82.81983224140615,87.68868321180295,86.72780180287404
2015-08-11,85.327,21.69861111111111,27.8,False,85.88711771735545,87.8067553038689,89.28170625385768
2015-08-12,92.133,26.537499999999994,35.0,False,97.8666564021504,102.777017582782,99.89758594511915
2015-08-13,101.398,29.562500000000004,37.8,False,106.80933123321148,107.88817952756817,106.65041625498036
2015-08-14,106.463,30.40833333333333,37.8,False,109.04384965637333,107.17313319076442,108.14325025295966
2015-08-15,103.021,31.6375,39.4,False,112.46704677315165,103.52112159503494,103.75314195833928
2015-08-16,100.209,30.53333333333333,38.9,False,105.3518658527407,98.64969936189475,98.69508176105894
2015-08-17,105.693,25.57291666666667,31.1,False,99.13451891380686,97.69881284827366,98.01435628649381
2015-08-18,97.438,23.70416666666667,28.9,False,93.36698031577971,92.03777719065499,94.17913176521196
2015-08-19,93.175,22.751388888888886,28.3,False,89.9823651291243,91.09677531486783,92.21056112521175
2015-08-20,90.937,22.4625,28.3,False,89.65925543221223,89.54397372562408,91.20224472346042
2015-08-21,88.052,22.260416666666668,27.8,False,89.50596005785452,88.01343615469492,90.11094174644832
2015-08-22,83.049,23.155555555555555,28.9,False,85.5934633013653,82.91883528545338,85.01194139802317
2015-08-23,83.626,24.30416666666667,32.8,False,83.41743930296856,84.31055328541908,84.38839374692009
2015-08-24,98.877,25.67083333333333,34.4,False,96.41994561327724,99.34496787257484,97.15924715589351
2015-08-25,97.07,26.05,30.0,False,99.4056579819751,97.01170168359953,99.97039970008906
2015-08-26,107.077,28.65,35.0,False,106.33781380333721,106.57681037603217,105.44670564380569
2015-08-27,110.321,29.075000000000006,36.7,False,107.5992076315093,106.73707061849694,105.74062245346461
2015-08-28,113.526,30.204166666666666,38.3,False,109.19010405522448,106.99867763335212,107.4384119430294
2015-08-29,104.65,29.416666666666668,36.7,False,106.6446130252128,99.2283724469006,98.82952944010407
2015-08-30,97.098,26.704166666666666,32.2,False,93.35634049249386,88.67300190190916,90.89495851205274
2015-08-31,98.624,24.123611111111103,29.4,False,95.28034792206999,94.21624384449011,94.78032893934754
2015-09-01,93.05,22.92291666666667,28.3,False,88.33137039695487,90.26092748493338,90.14864840632373
2015-09-02,90.007,22.28541666666668,26.1,False,87.75416817794725,87.90577033594045,89.54755527285371
2015-09-03,85.189,21.339583333333337,26.1,False,84.59327816667609,84.68912549154197,86.81357574323995
2015-09-04,82.032,21.4875,26.1,False,84.42938573706246,82.7602044445211,86.47312068889187
2015-09-05,76.881,22.42916666666667,29.4,False,78.33887296173066,80.21365440541503,80.75479504502884
2015-09-06,78.319,25.116666666666664,33.3,False,84.2800014741484,84.51777491728993,84.17360415010239
2015-09-07,90.777,28.34999999999999,35.0,True,102.20490699846576,90.27667354579862,95.69544921758737
2015-09-08,112.522,30.97083333333333,38.3,False,112.94206918612464,112.31603455594289,107.91827669041203
2015-09-09,123.748,32.974999999999994,38.3,False,117.99224851867659,115.65003925990392,113.51477486702404
2015-09-10,122.058,31.22083333333333,35.6,False,114.87983561186121,110.86340274002556,109.56754096090043
2015-09-11,117.805,30.066666666666663,35.6,False,110.29085473645804,108.49020221490235,105.80677051041911
2015-09-12,99.143,28.716666666666672,32.8,False,104.22143117615724,97.1013917757848,96.12479061032408
2015-09-13,96.2,27.195833333333336,32.8,False,93.9754674372392,89.14225276715047,89.80369663046453
2015-09-14,99.284,23.938541666666666,28.3,False,91.66435273935548,91.01132255243866,92.48442684565211
2015-09-15,94.864,22.74805555555556,26.7,False,88.48949448102601,88.83580086827513,90.22862798933878
2015-09-16,86.414,21.33611111111111,25.0,False,84.71772954667254,85.23647619059028,87.42468961084265
2015-09-17,86.177,22.09166666666667,27.8,False,85.93121238358361,87.30184740197876,88.21613820627007
2015-09-18,90.733,24.91249999999999,33.9,False,88.58663095320935,95.85476377216052,92.84080575614179
2015-09-19,90.884,27.225000000000005,36.1,False,93.88423376211877,95.18366784471954,91.09416044412437
2015-09-20,98.984,30.879166666666663,40.0,False,107.47762728299347,99.25468326266514,97.0522116992872
2015-09-21,104.33,26.479166666666657,31.1,False,101.74029340884134,97.98666381675781,98.21436225401429
2015-09-22,97.976,24.399999999999995,28.9,False,96.63181301277365,94.04107684100012,93.8264147647173
2015-09-23,98.115,25.604166666666668,31.7,False,98.42442067232611,98.99551373371055,96.37768716937218
2015-09-24,103.324,27.475000000000005,36.1,False,99.94832417319542,103.83800040062235,99.55944477348781
2015-09-25,105.513,28.075000000000003,36.1,False,101.87901193414284,104.481358909383,100.40652322467716
2015-09-26,98.855,28.35833333333333,35.6,False,99.28703708414399,97.60931562996917,94.23973582073525
2015-09-27,89.861,26.91666666666666,34.4,False,92.1080416223596,89.2132662948047,88.53107587092046
2015-09-28,97.4,25.74166666666666,32.2,False,97.79434094526678,96.89963007167756,95.90632333084793
2015-09-29,92.544,24.4875,32.2,False,91.98153931041173,96.30581852849113,92.94394311094797
2015-09-30,94.892,26.09166666666667,32.8,False,97.61614359535038,100.74015243612465,97.28748097088796
2015-10-01,92.659,24.9125,29.4,False,93.20400350842118,86.99815688562785,89.87251907352031
2015-10-02,89.198,23.35416666666667,28.9,False,87.02503192259907,82.58679665467697,85.21861557989587
2015-10-03,79.623,22.65833333333333,28.3,False,81.4227639200113,74.5835753874876,76.51345756922512
2015-10-04,69.234,19.07055555555556,21.1,False,68.52727779135215,68.40153609828583,67.1897824490974
2015-10-05,77.994,19.36597222222221,23.9,False,75.76406378337417,76.20185415535445,76.74219512140421
2015-10-06,79.901,20.4,26.1,False,80.25061596105404,77.80822018336745,79.04890459204935
2015-10-07,85.015,22.975,29.4,False,82.92981094272271,83.6639127208748,85.0325521899367
2015-10-08,94.054,27.3625,36.7,False,98.22722510240342,93.5542743440794,93.84760482796231
2015-10-09,105.436,31.408333333333328,39.4,False,112.74566806929265,98.84277210155818,102.83612852206899
2015-10-10,100.429,30.40833333333333,36.7,False,107.00838609808278,91.46369322541273,94.03982282929127
2015-10-11,96.806,30.17083333333333,37.8,False,103.52284129263008,86.81773560492721,90.71901942106409
2015-10-12,106.473,29.64583333333333,35.0,True,107.98886604119497,88.11872173726461,93.88526183149953
2015-10-13,111.076,28.725000000000005,32.8,False,107.7202749766206,94.77528408400788,98.65869284082436
2015-10-14,103.268,26.779166666666665,31.7,False,100.5515417514468,91.77771603468625,94.25009451452314
2015-10-15,97.771,24.25000000000001,27.8,False,91.71946141542881,85.34386868452047,88.67156773858086
2015-10-16,88.688,22.72708333333333,25.0,False,85.21348666421574,81.03307872951896,84.88594796048751
2015-10-17,83.489,24.13958333333333,28.3,False,88.3992754726542,77.23158249327338,80.40440836386628
2015-10-18,76.161,22.59930555555556,26.1,False,74.83386223665201,71.82387005936981,74.77378223968415
2015-10-19,80.757,21.697916666666668,26.7,False,81.96651979510561,79.7105680145368,81.9239679822795
2015-10-20,80.061,22.4,28.3,False,84.23255308988455,81.43888992840779,83.56096447491697
2015-10-21,82.799,25.15833333333333,32.2,False,90.63621060151107,88.82580925335363,89.82395305359992
2015-10-22,82.196,21.8125,27.8,False,82.78561475003298,81.05981987266279,82.26873731701946
2015-10-23,82.632,23.441666666666663,31.1,False,84.25787957754157,83.13229748250168,84.70691620892299
2015-10-24,75.933,26.04,35.0,False,87.3214859551284,82.53227599833839,83.13808682288828
2015-10-25,70.584,22.495,30.0,False,73.23925641763927,71.49755213891557,73.18523589898179
2015-10-26,81.681,22.92,30.6,False,81.94588612527804,82.4859792332929,83.81958292510487
2015-10-27,78.807,21.012500000000003,28.3,False,80.38584425934806,79.11769629367411,79.91627638879743
2015-10-28,80.981,22.137500000000003,27.2,False,83.32893811660148,81.48103435955291,83.5741498927368
2015-10-29,79.848,22.16666666666667,27.8,False,83.74695355059443,81.66303950609301,83.1990631047677
2015-10-30,79.736,23.96250000000001,30.6,False,85.07448184385807,83.9614163885147,86.24357522319289
2015-10-31,73.878,22.60416666666667,30.6,False,77.80508696938405,74.86720801718792,75.59592131198966
2015-11-01,72.912,21.277083333333334,29.4,False,71.27260522210877,69.78615949775032,68.95998913929321
2015-11-02,75.644,16.57222222222222,21.7,False,72.85849264952664,73.36227439860413,74.618762548281
2015-11-03,71.179,13.758333333333336,18.3,False,72.91445237733015,73.0941644666038,75.69596802385259
2015-11-04,71.276,13.229166666666664,18.3,False,72.99058259576003,71.77626740992271,76.10112950467624
2015-11-05,72.086,14.158333333333331,20.6,False,72.91445237733015,71.90381313751223,75.08972019486019
2015-11-06,72.513,16.26666666666667,25.0,False,72.90571901114639,72.01296486205644,74.14640959533612
2015-11-07,66.685,16.945833333333333,25.6,False,66.22389445485754,66.97349088125436,68.2644257843955
2015-11-08,64.257,16.0625,23.9,False,63.79300099332983,64.8507773574091,66.02676679132543
