ds,y,temp,HDH,CDH,Day Type,train,yhat_hcdh,yhat_5p
2016-10-19,79.131,23.120833333333337,14.199999999999998,201.1,Working Day,True,89.96644960788896,88.49211450793221
2016-10-20,86.221,25.175,1.5999999999999996,244.8,Working Day,True,94.4823165464731,95.15153261825405
2016-10-21,85.661,24.53333333333333,0.0,228.8,Working Day,True,92.36806741045955,93.07130870549632
2016-10-22,72.213,21.0875,6.6,148.9,Non-Working Day,True,74.43758673796,73.30112784660616
2016-10-23,66.605,19.9875,2.6000000000000014,119.70000000000002,Non-Working Day,True,70.79393534646293,70.01082318837032
2016-10-24,76.275,19.36875,0.0,104.85,Working Day,True,76.90858890275516,76.32820779729364
2016-10-25,74.742,18.28333333333333,13.099999999999998,84.5,Working Day,True,75.34210114524525,72.80938747733656
2016-10-26,76.035,20.08333333333333,6.800000000000001,124.2,Working Day,True,79.82634918785335,78.64482079104657
2016-10-27,76.063,21.558333333333337,0.0,157.4,Working Day,True,83.46280911719538,83.42663420089228
2016-10-28,76.192,19.904166666666665,0.0,117.7,Working Day,True,78.5112859485317,78.06397904917266
2016-10-29,69.848,20.775,4.200000000000001,139.2,Non-Working Day,True,73.1452336785139,72.36638220506188
2016-10-30,66.693,17.916666666666664,0.4000000000000003,69.99999999999997,Non-Working Day,True,64.94482442561396,65.05044089088453
2016-10-31,72.447,15.533333333333337,33.400000000000006,32.800000000000004,Working Day,True,70.39956020555474,72.68574709103423
2016-11-01,73.235,15.498611111111115,34.95,34.71666666666667,Working Day,True,70.7535781062522,72.68574709103423
2016-11-02,74.827,19.97083333333333,40.0,150.3,Working Day,True,85.54409842526758,78.2801062089397
2016-11-03,79.107,24.3625,0.0,224.7,Working Day,True,91.85670103787714,92.51748285859328
2016-11-04,78.415,20.904166666666665,1.200000000000001,141.70000000000002,Working Day,True,81.59365486663668,81.30588644567821
2016-11-05,70.542,19.629166666666663,15.299999999999995,120.0,Non-Working Day,True,71.79992636235207,68.93898151939953
2016-11-06,70.275,17.669444444444444,22.43333333333333,77.69999999999999,Non-Working Day,True,67.51075723532963,65.05044089088453
2016-11-07,76.744,19.808333333333334,17.099999999999994,125.50000000000004,Working Day,True,80.75244749078705,77.75329625700753
2016-11-08,81.491,24.04791666666667,1.4000000000000004,217.14999999999995,Working Day,True,91.01887748819372,91.49763282344257
2016-11-09,87.098,24.925,0.0,238.20000000000005,Working Day,True,93.54046836223382,94.34105576912766
2016-11-10,85.884,23.35416666666667,0.8000000000000007,200.5,Working Day,True,88.8977287285295,89.24855956711686
2016-11-11,80.471,21.5625,8.299999999999999,161.4,Non-Working Day,True,75.99642571486937,74.72194122175344
2016-11-12,72.341,20.45,4.4,130.79999999999998,Non-Working Day,True,72.20040340077954,71.39424673785584
2016-11-13,71.212,21.275,12.099999999999998,157.29999999999995,Non-Working Day,True,75.81853459172815,73.86197523153271
2016-11-14,81.358,21.691666666666663,7.799999999999999,163.99999999999997,Working Day,True,84.86451536199729,83.85888852042633
2016-11-15,76.872,18.52083333333333,20.2,96.29999999999998,Working Day,True,77.34045016023764,73.57934048400664
2016-11-16,74.526,15.366666666666667,34.5,31.10000000000001,Working Day,True,70.2691179666137,72.68574709103423
