,"Electricity demand, daily sum, (GWh)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",Holiday,yhat_rf,yhat_svm,yhat_nn
2015-07-02,64.932,26.67083333333333,32.8,False,66.47775582601338,64.13828980210391,66.88828633040893
2015-07-03,59.337,25.39166666666667,36.1,True,63.87677214715372,58.837348131558855,61.04037609620283
2015-07-04,59.545,25.279166666666665,37.2,False,63.268167841675655,62.559986610666726,60.572001307841624
2015-07-05,53.021,22.40625,31.7,False,52.17515881275264,53.521216807510825,54.01249541364001
2015-07-06,55.365,22.61875,32.8,False,55.705380768616635,58.671511545704526,58.94198627618941
2015-07-07,54.404,22.475000000000005,31.1,False,54.76372610965628,56.85257756445733,58.943991812709996
2015-07-08,50.337,20.116666666666664,27.8,False,50.011930560926594,51.365527750639046,54.46641948028103
2015-07-09,45.658,18.413194444444443,23.3,False,45.90515401113953,46.693056976650674,50.58607321639241
2015-07-10,46.958,20.291666666666668,25.6,False,48.95134907659128,50.826384879899415,53.22058392702567
2015-07-11,47.176,21.79166666666666,29.4,False,50.87236784307616,52.26947220773808,53.12199518667254
2015-07-12,46.838,22.466666666666665,29.4,False,51.23426295892721,51.82657147198248,53.778333101804854
2015-07-13,54.91,23.59166666666667,32.8,False,60.23119282102623,59.98848796773974,60.69576214157481
2015-07-14,55.486,22.570833333333336,31.1,False,55.43144083514377,56.964682834112175,59.11674061315481
2015-07-15,57.829,23.712499999999995,34.4,False,61.327636316079754,60.61142911772542,61.93271424667145
2015-07-16,61.518,24.2125,34.4,False,62.826453355660696,62.01832427312916,62.69556086806947
2015-07-17,60.627,24.420833333333334,36.1,False,62.811123907584914,63.78065830380466,62.229989296208544
2015-07-18,53.005,23.28333333333333,33.3,False,56.0198275970677,57.030321062792524,56.39259379391312
2015-07-19,56.924,26.63333333333333,34.4,False,64.26102036622315,61.24196578370615,62.034953043513006
2015-07-20,69.645,28.225000000000005,36.7,False,70.26943563490676,69.14484242897905,69.62951707644099
2015-07-21,63.428,23.329166666666666,32.8,False,59.18361337777257,59.04025762494265,60.7372822424538
2015-07-22,54.049,21.312500000000004,29.4,False,51.81581603163047,53.88231580142046,56.86068088707639
2015-07-23,50.267,20.536458333333336,28.3,False,50.58881788801855,52.33531311270377,55.159263119630566
2015-07-24,52.205,22.2,31.7,False,53.76351226523847,57.50433434665341,57.570417388998855
2015-07-25,50.051,22.0,31.7,False,52.462727977373994,54.18175890706262,53.84060522149424
2015-07-26,50.17,22.55416666666667,31.7,False,52.52343845566529,53.71097024276155,54.27912943171789
2015-07-27,58.771,26.1875,36.7,False,65.08711186913094,66.51745428757701,65.95672736263606
2015-07-28,64.873,28.15,40.0,False,68.25686313697022,69.35923687595353,70.50125363130128
2015-07-29,70.865,28.745833333333334,41.1,False,69.98418022041926,71.36498940005723,72.00515707035538
2015-07-30,67.734,26.0625,37.2,False,64.89743696741655,66.71639859954138,66.44801321579132
2015-07-31,60.733,23.63333333333333,32.8,False,60.64155824422811,60.233379892879846,60.31821513509451
