,"Electricity demand, daily sum, (GWh)","Electricity power, daily peak, (GW)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",HDH_5,HDH_6,HDH_7,HDH_8,HDH_9,HDH_10,HDH_11,HDH_12,HDH_13,HDH_14,HDH_15,HDH_16,HDH_17,HDH_18,HDH_19,HDH_20,HDH_21,HDH_22,HDH_23,HDH_24,CDH_5,CDH_6,CDH_7,CDH_8,CDH_9,CDH_10,CDH_11,CDH_12,CDH_13,CDH_14,CDH_15,CDH_16,CDH_17,CDH_18,CDH_19,CDH_20,CDH_21,CDH_22,CDH_23,CDH_24,CDH_25,CDH_26,CDH_27,CDH_28,CDH_29,Holiday,Weekend,Non-workDay,Day Type
2015-07-02,462.6,22.337,23.270833333333332,26.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,3.4999999999999964,11.099999999999998,24.699999999999996,438.5,414.5,390.50000000000006,366.5,342.50000000000006,318.50000000000006,294.50000000000006,270.50000000000006,246.50000000000006,222.50000000000006,198.50000000000006,174.50000000000006,150.50000000000003,126.5,102.5,78.49999999999999,54.89999999999999,34.0,17.599999999999998,7.199999999999996,2.200000000000003,0.20000000000000284,0.0,0.0,0.0,False,False,False,Working Day
2015-07-03,424.376,20.675,22.970833333333342,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000000000142,1.7000000000000028,6.100000000000001,14.100000000000001,26.3,41.099999999999994,431.3,407.3,383.3,359.29999999999995,335.29999999999995,311.29999999999995,287.29999999999995,263.29999999999995,239.29999999999995,215.29999999999998,191.29999999999998,167.29999999999998,143.29999999999998,119.30000000000001,95.4,73.00000000000001,53.400000000000006,37.400000000000006,25.600000000000005,16.400000000000006,8.400000000000006,1.8000000000000043,0.0,0.0,0.0,True,False,True,Non-Working Day
2015-07-04,396.572,18.211,22.133333333333336,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.400000000000002,22.000000000000004,44.8,411.2,387.2,363.2,339.2,315.2,291.2,267.2,243.2,219.20000000000002,195.20000000000002,171.2,147.19999999999996,123.19999999999999,99.19999999999999,75.19999999999999,51.2,27.2,8.600000000000001,1.2000000000000028,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,Non-Working Day
2015-07-05,422.882,21.343,23.97916666666666,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999957,8.699999999999989,17.69999999999999,28.59999999999999,455.4999999999999,431.4999999999999,407.4999999999999,383.49999999999994,359.49999999999994,335.49999999999994,311.49999999999994,287.49999999999994,263.5,239.50000000000003,215.5,191.5,167.50000000000003,143.50000000000006,119.50000000000004,95.50000000000004,72.7,56.2,41.19999999999999,28.099999999999998,18.3,9.7,3.1999999999999993,0.6000000000000014,0.0,False,True,True,Non-Working Day
2015-07-06,507.533,25.621,24.89097222222222,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000007,7.966666666666669,477.3833333333333,453.3833333333333,429.3833333333333,405.3833333333333,381.3833333333333,357.38333333333327,333.38333333333327,309.38333333333327,285.3833333333333,261.3833333333334,237.38333333333335,213.38333333333335,189.38333333333335,165.38333333333335,141.38333333333333,117.38333333333335,93.38333333333335,69.38333333333335,47.18333333333334,29.350000000000005,17.800000000000008,8.200000000000006,3.1000000000000014,0.3000000000000007,0.0,False,False,False,Working Day
2015-07-07,556.97,28.172,26.56888888888889,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1750000000000007,517.6533333333333,493.65333333333325,469.65333333333325,445.6533333333333,421.6533333333333,397.6533333333333,373.6533333333333,349.6533333333333,325.65333333333336,301.6533333333333,277.65333333333336,253.65333333333334,229.65333333333334,205.65333333333334,181.6533333333333,157.65333333333334,133.6533333333333,109.65333333333332,85.65333333333334,61.82833333333333,42.861666666666665,26.26166666666666,12.341666666666661,4.4999999999999964,1.1999999999999957,False,False,False,Working Day
2015-07-08,541.464,26.609,26.691666666666666,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.5999999999999,496.59999999999997,472.59999999999997,448.59999999999997,424.6,400.6,376.6000000000001,352.6,328.6,304.6,280.6,256.59999999999997,232.59999999999997,208.59999999999997,184.59999999999997,160.6,136.60000000000002,112.6,88.6,64.60000000000001,40.60000000000001,20.2,9.099999999999994,4.4999999999999964,1.1999999999999957,False,False,False,Working Day
2015-07-09,489.296,22.9,23.057152777777777,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6999999999999993,5.575000000000003,14.395000000000003,29.095000000000006,433.37166666666667,409.3716666666668,385.3716666666668,361.37166666666667,337.37166666666667,313.37166666666667,289.3716666666668,265.3716666666668,241.37166666666675,217.37166666666673,193.37166666666673,169.37166666666673,145.3716666666667,121.37166666666664,97.37166666666664,73.37166666666664,51.07166666666666,30.946666666666665,15.766666666666666,6.466666666666669,1.6666666666666714,0.0,0.0,0.0,0.0,False,False,False,Working Day
2015-07-10,494.03,24.406,25.156597222222228,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.275000000000002,13.375,483.7583333333334,459.7583333333334,435.7583333333334,411.7583333333334,387.7583333333334,363.7583333333334,339.7583333333334,315.7583333333334,291.75833333333344,267.7583333333334,243.75833333333338,219.75833333333335,195.75833333333333,171.7583333333333,147.7583333333333,123.75833333333333,99.75833333333333,75.75833333333333,56.03333333333334,41.13333333333335,27.900000000000006,16.700000000000003,7.600000000000005,1.2000000000000028,0.0,False,False,False,Working Day
2015-07-11,468.524,23.172,25.883333333333336,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.300000000000001,13.0,501.20000000000005,477.20000000000005,453.20000000000005,429.20000000000005,405.20000000000005,381.20000000000005,357.20000000000005,333.20000000000005,309.20000000000005,285.2,261.19999999999993,237.2,213.2,189.2,165.2,141.2,117.19999999999999,94.69999999999999,75.5,58.199999999999996,42.4,29.2,19.299999999999997,11.099999999999998,4.200000000000003,False,True,True,Non-Working Day
