,"Electricity demand, daily sum, (GWh)","Electricity power, daily peak, (GW)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",HDH_5,HDH_6,HDH_7,HDH_8,HDH_9,HDH_10,HDH_11,HDH_12,HDH_13,HDH_14,HDH_15,HDH_16,HDH_17,HDH_18,HDH_19,HDH_20,HDH_21,HDH_22,HDH_23,HDH_24,CDH_5,CDH_6,CDH_7,CDH_8,CDH_9,CDH_10,CDH_11,CDH_12,CDH_13,CDH_14,CDH_15,CDH_16,CDH_17,CDH_18,CDH_19,CDH_20,CDH_21,CDH_22,CDH_23,CDH_24,CDH_25,CDH_26,CDH_27,CDH_28,CDH_29,Holiday,Weekend,Non-workDay,Day Type
2015-07-12,46.838,2.636,22.466666666666665,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.5,20.700000000000003,32.1,45.0,58.2,72.30000000000001,419.2,395.20000000000005,371.20000000000005,347.20000000000005,323.20000000000005,299.20000000000005,275.20000000000005,251.20000000000005,227.20000000000005,203.20000000000005,179.20000000000005,155.20000000000005,131.20000000000002,110.2,93.70000000000002,79.9,67.29999999999998,56.2,45.4,35.49999999999999,27.099999999999994,19.499999999999993,12.499999999999993,6.499999999999993,1.5999999999999943,False,True,True,Non-Working Day
2015-07-13,54.91,3.261,23.59166666666667,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000021,6.5000000000000036,14.200000000000003,22.800000000000004,32.800000000000004,43.7,55.10000000000001,68.10000000000001,446.2,422.2,398.2,374.2,350.19999999999993,326.19999999999993,302.19999999999993,278.19999999999993,254.20000000000002,230.20000000000002,206.20000000000002,182.20000000000005,159.10000000000002,140.70000000000002,124.4,109.0,95.0,81.89999999999999,69.30000000000001,58.300000000000004,47.900000000000006,38.3,29.3,20.7,13.8,False,False,False,Working Day
2015-07-14,55.486,3.266,22.570833333333336,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000021,6.700000000000003,15.600000000000005,26.600000000000005,38.60000000000001,50.89999999999999,63.89999999999999,77.6,421.7,397.69999999999993,373.69999999999993,349.69999999999993,325.69999999999993,301.69999999999993,277.69999999999993,253.69999999999996,229.69999999999996,205.69999999999996,181.69999999999996,157.69999999999996,134.6,116.39999999999998,101.3,88.3,76.3,64.6,53.6,43.300000000000004,34.5,26.500000000000004,18.800000000000004,12.600000000000005,7.300000000000004,False,False,False,Working Day
2015-07-15,57.829,3.554,23.712499999999995,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0000000000000018,8.500000000000002,16.5,24.600000000000005,33.6,44.0,55.9,68.1,81.1,449.09999999999997,425.09999999999997,401.09999999999997,377.1,353.1,329.1,305.1,281.1,257.1,233.10000000000002,209.10000000000002,187.10000000000002,169.60000000000002,153.6,137.7,122.69999999999999,109.09999999999998,96.99999999999999,85.19999999999999,74.19999999999999,63.79999999999999,54.79999999999999,45.79999999999999,37.59999999999999,29.59999999999999,False,False,False,Working Day
2015-07-16,61.518,3.72,24.212500000000002,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000014,3.6000000000000014,9.8,18.400000000000002,27.8,39.0,51.0,63.8,461.0999999999999,437.09999999999997,413.09999999999997,389.09999999999997,365.09999999999997,341.09999999999997,317.09999999999997,293.09999999999997,269.09999999999997,245.09999999999994,221.1,197.1,173.7,152.7,134.89999999999998,119.5,104.89999999999999,92.1,80.1,68.89999999999999,58.89999999999999,49.3,40.599999999999994,32.599999999999994,24.699999999999996,False,False,False,Working Day
2015-07-17,60.627,3.714,24.420833333333338,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,6.5,13.5,21.700000000000003,31.1,41.40000000000001,53.4,66.4,466.09999999999997,442.0999999999999,418.0999999999999,394.0999999999999,370.0999999999999,346.0999999999999,322.0999999999999,298.0999999999999,274.09999999999997,250.09999999999997,226.09999999999997,202.09999999999997,179.59999999999997,160.59999999999997,143.59999999999997,127.80000000000001,113.19999999999999,99.49999999999999,87.5,76.5,66.1,57.099999999999994,48.10000000000001,40.7,33.7,False,False,False,Working Day
2015-07-18,53.005,3.114,23.283333333333335,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1999999999999993,5.600000000000001,11.500000000000004,20.100000000000005,29.100000000000005,40.5,53.7,68.4,438.80000000000007,414.8,390.8,366.8,342.8,318.8,294.8,270.8,246.79999999999995,222.8,198.8,174.8,152.0,132.4,114.29999999999998,98.9,83.9,71.3,60.5,51.2,42.2,34.2,27.1,20.3,14.3,False,True,True,Non-Working Day
2015-07-19,56.924,3.451,26.63333333333333,34.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8000000000000007,4.0000000000000036,10.000000000000004,17.8,25.8,34.5,519.1999999999999,495.19999999999993,471.19999999999993,447.19999999999993,423.19999999999993,399.19999999999993,375.2,351.2,327.2,303.2,279.2,255.2,231.2,207.2,184.0,163.2,145.20000000000002,129.00000000000003,113.00000000000003,97.70000000000002,83.30000000000001,69.7,57.899999999999984,46.899999999999984,35.99999999999999,False,True,True,Non-Working Day
2015-07-20,69.645,4.141,28.225000000000005,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5999999999999979,7.5,557.3999999999999,533.3999999999999,509.4,485.4,461.3999999999999,437.3999999999999,413.3999999999999,389.3999999999999,365.3999999999999,341.3999999999999,317.3999999999999,293.3999999999999,269.3999999999999,245.4,221.4,197.4,173.4,149.4,127.00000000000003,108.9,93.5,79.89999999999999,67.5,56.7,46.800000000000004,False,False,False,Working Day
2015-07-21,63.428,3.767,23.329166666666666,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,4.699999999999999,12.900000000000002,23.3,35.8,49.8,64.60000000000001,439.9,415.9,391.9,367.9,343.9,319.9,295.9,271.9,247.9,223.89999999999998,199.89999999999998,175.9,151.9,128.3,108.6,92.79999999999998,79.19999999999999,67.69999999999999,57.699999999999996,48.5,40.499999999999986,32.49999999999999,24.499999999999993,18.099999999999994,12.199999999999996,False,False,False,Working Day
2015-07-22,54.049,3.001,21.312500000000004,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999979,6.799999999999997,18.199999999999996,30.199999999999996,43.599999999999994,57.89999999999999,72.9,88.69999999999999,391.50000000000017,367.50000000000017,343.50000000000017,319.5000000000001,295.5000000000001,271.5000000000001,247.50000000000003,223.50000000000003,199.50000000000003,175.5,151.5,127.49999999999997,104.1,86.3,73.69999999999999,61.699999999999996,51.099999999999994,41.400000000000006,32.400000000000006,24.200000000000003,17.200000000000003,11.600000000000001,6.600000000000001,2.0,0.3999999999999986,False,False,False,Working Day
