,"Electricity demand, daily sum, (GWh)",HCDH
2015-07-02,93.135,255.4
2015-07-03,84.486,204.0
2015-07-04,74.337,155.75000000000003
2015-07-05,70.692,127.11666666666666
2015-07-06,79.813,126.93333333333332
2015-07-07,80.487,135.95000000000002
2015-07-08,77.819,134.24999999999997
2015-07-09,77.551,133.25
2015-07-10,77.618,125.0
2015-07-11,74.188,161.0
2015-07-12,74.887,199.1
2015-07-13,87.895,221.35
2015-07-14,87.634,198.3
2015-07-15,86.326,178.29999999999998
2015-07-16,87.533,184.35
2015-07-17,87.836,205.4
2015-07-18,74.173,167.34999999999997
2015-07-19,85.076,263.99999999999994
2015-07-20,97.677,261.0
2015-07-21,92.393,205.3
2015-07-22,90.692,201.2
2015-07-23,89.53,203.4
2015-07-24,94.053,248.1
2015-07-25,88.759,262.99999999999994
2015-07-26,82.274,217.6
2015-07-27,89.502,187.39999999999995
2015-07-28,92.792,216.6
2015-07-29,93.37,211.8583333333333
2015-07-30,96.77,255.6
2015-07-31,98.945,261.45000000000005
2015-08-01,87.918,212.0
2015-08-02,84.104,227.2
2015-08-03,94.237,229.90000000000003
2015-08-04,97.204,280.1
2015-08-05,100.933,312.29999999999995
2015-08-06,96.685,259.1
2015-08-07,89.672,171.2
2015-08-08,79.891,173.14999999999998
2015-08-09,74.317,141.60000000000005
2015-08-10,83.264,140.46666666666664
2015-08-11,85.327,160.76666666666665
2015-08-12,92.133,276.90000000000003
2015-08-13,101.398,349.5
2015-08-14,106.463,369.8
2015-08-15,103.021,399.30000000000007
2015-08-16,100.209,372.8
2015-08-17,105.693,253.75
2015-08-18,97.438,208.9
2015-08-19,93.175,186.03333333333327
2015-08-20,90.937,179.09999999999997
2015-08-21,88.052,174.24999999999997
2015-08-22,83.049,195.7333333333333
2015-08-23,83.626,223.3
2015-08-24,98.877,256.1000000000001
2015-08-25,97.07,265.20000000000005
2015-08-26,107.077,327.6
2015-08-27,110.321,337.8
2015-08-28,113.526,364.9
2015-08-29,104.65,346.0
2015-08-30,97.098,280.9
2015-08-31,98.624,218.9666666666667
2015-09-01,93.05,190.15
2015-09-02,90.007,174.85
2015-09-03,85.189,152.14999999999998
2015-09-04,82.032,155.69999999999996
2015-09-05,76.881,178.29999999999995
2015-09-06,78.319,242.8
2015-09-07,90.777,320.40000000000003
2015-09-08,112.522,383.30000000000007
2015-09-09,123.748,431.4
2015-09-10,122.058,389.3
2015-09-11,117.805,361.6
2015-09-12,99.143,329.19999999999993
2015-09-13,96.2,292.7
2015-09-14,99.284,214.525
2015-09-15,94.864,185.9533333333333
2015-09-16,86.414,152.06666666666663
2015-09-17,86.177,170.2
2015-09-18,90.733,237.9
2015-09-19,90.884,293.4000000000001
2015-09-20,98.984,381.1
2015-09-21,104.33,275.50000000000006
2015-09-22,97.976,225.6
2015-09-23,98.115,254.5
2015-09-24,103.324,299.40000000000003
2015-09-25,105.513,313.8
2015-09-26,98.855,320.6
2015-09-27,89.861,286.0
2015-09-28,97.4,257.8
2015-09-29,92.544,227.7
2015-09-30,94.892,266.2
2015-10-01,92.659,237.90000000000003
2015-10-02,89.198,200.5
2015-10-03,79.623,183.8
2015-10-04,69.234,97.69333333333334
2015-10-05,77.994,106.18333333333332
2015-10-06,79.901,132.0
2015-10-07,85.015,191.40000000000003
2015-10-08,94.054,296.7
2015-10-09,105.436,393.80000000000007
2015-10-10,100.429,369.8
2015-10-11,96.806,364.0999999999999
2015-10-12,106.473,351.50000000000006
2015-10-13,111.076,329.4
2015-10-14,103.268,282.7
2015-10-15,97.771,222.0
2015-10-16,88.688,185.4500000000001
2015-10-17,83.489,219.35
2015-10-18,76.161,182.3833333333333
2015-10-19,80.757,160.74999999999997
2015-10-20,80.061,177.59999999999997
2015-10-21,82.799,243.79999999999995
2015-10-22,82.196,163.5
2015-10-23,82.632,202.6
2015-10-24,75.933,220.79999999999995
2015-10-25,70.584,149.9
2015-10-26,81.681,160.40000000000003
2015-10-27,78.807,151.1
2015-10-28,80.981,171.3
2015-10-29,79.848,171.99999999999997
2015-10-30,79.736,215.1
2015-10-31,73.878,186.1
2015-11-01,72.912,157.45
2015-11-02,75.644,68.76666666666667
2015-11-03,71.179,80.0
2015-11-04,71.276,100.9
2015-11-05,72.086,103.0
2015-11-06,72.513,128.2
2015-11-07,66.685,132.10000000000002
2015-11-08,64.257,112.50000000000001
2015-11-09,72.65,66.5
2015-11-10,72.85,100.10000000000001
2015-11-11,72.561,132.6
2015-11-12,73.946,148.89999999999998
2015-11-13,73.258,154.3
2015-11-14,67.087,134.10000000000002
2015-11-15,64.655,97.64999999999999
2015-11-16,73.596,101.50000000000004
2015-11-17,74.622,114.35
2015-11-18,74.667,134.79999999999998
2015-11-19,75.111,148.9
2015-11-20,75.973,153.6
2015-11-21,70.356,165.1
2015-11-22,67.115,135.20000000000002
2015-11-23,74.041,120.4
2015-11-24,73.15,84.85000000000002
2015-11-25,71.81,96.05
2015-11-26,64.633,115.2
2015-11-27,66.538,106.10000000000001
2015-11-28,66.396,112.4
2015-11-29,65.385,107.3
2015-11-30,75.318,136.20000000000002
2015-12-01,75.733,143.10000000000002
2015-12-02,75.729,127.4
2015-12-03,74.603,108.69999999999999
2015-12-04,74.894,109.8
2015-12-05,68.412,136.6
2015-12-06,65.548,110.3
2015-12-07,74.993,148.8
2015-12-08,75.982,132.4
2015-12-09,74.663,105.60000000000001
2015-12-10,74.095,68.94999999999999
2015-12-11,73.645,85.65
2015-12-12,68.767,83.5
2015-12-13,66.657,119.21
2015-12-14,76.555,153.59999999999997
2015-12-15,78.41,152.5
2015-12-16,79.091,176.29999999999998
2015-12-17,78.931,161.9
2015-12-18,76.73,146.0
2015-12-19,70.833,144.4333333333333
2015-12-20,69.01,153.06666666666666
2015-12-21,76.836,138.0
2015-12-22,75.957,81.12833333333333
2015-12-23,73.172,96.20833333333334
2015-12-24,70.554,133.49999999999997
2015-12-25,66.017,167.49999999999994
2015-12-26,68.81,137.75
2015-12-27,69.67,202.7
2015-12-28,78.524,220.70000000000005
2015-12-29,77.611,176.19999999999996
2015-12-30,77.392,187.30000000000004
2015-12-31,73.757,167.9
2016-01-01,67.698,152.10000000000002
2016-01-02,67.622,135.6
2016-01-03,67.561,127.8
2016-01-04,73.19,76.9
2016-01-05,76.782,99.97333333333334
2016-01-06,79.809,172.94500000000002
2016-01-07,76.969,142.61666666666667
2016-01-08,76.147,127.0
2016-01-09,71.366,151.90000000000003
2016-01-10,67.183,98.58333333333336
2016-01-11,74.925,118.6
2016-01-12,75.877,156.6
2016-01-13,76.564,134.78333333333336
2016-01-14,74.705,124.03333333333333
2016-01-15,74.439,104.60000000000002
2016-01-16,66.476,88.95
2016-01-17,63.569,109.48333333333332
2016-01-18,70.785,82.85
2016-01-19,73.324,73.01666666666664
2016-01-20,72.534,68.99999999999999
2016-01-21,71.846,126.5
2016-01-22,72.634,109.70000000000002
2016-01-23,67.267,78.7
2016-01-24,65.007,77.5
2016-01-25,73.59,104.99999999999999
2016-01-26,74.553,115.90000000000002
2016-01-27,75.452,112.30000000000001
2016-01-28,74.841,126.5
2016-01-29,73.462,89.20000000000002
2016-01-30,66.932,75.61666666666666
2016-01-31,66.639,121.18333333333332
2016-02-01,76.635,166.63333333333333
2016-02-02,78.045,146.3
2016-02-03,77.184,136.2
2016-02-04,76.06,142.0
2016-02-05,74.142,147.7
2016-02-06,66.006,135.29999999999998
2016-02-07,63.651,195.10000000000005
2016-02-08,74.443,192.35000000000005
2016-02-09,76.196,182.1
2016-02-10,76.686,164.00000000000003
2016-02-11,76.577,159.09999999999997
2016-02-12,75.383,156.20000000000002
2016-02-13,66.958,119.05000000000001
2016-02-14,64.659,201.5
2016-02-15,75.115,203.3
2016-02-16,79.348,182.29999999999998
2016-02-17,73.662,77.85000000000002
2016-02-18,72.201,70.05499999999999
2016-02-19,71.705,94.8
2016-02-20,65.765,111.30000000000001
2016-02-21,62.921,129.7
2016-02-22,72.675,176.1
2016-02-23,73.881,146.30000000000004
2016-02-24,73.663,134.0
2016-02-25,73.874,153.2
2016-02-26,72.825,130.70000000000002
2016-02-27,66.142,103.19999999999999
2016-02-28,64.277,117.9
2016-02-29,73.52,120.8
2016-03-01,74.271,123.60000000000001
2016-03-02,74.335,98.69999999999999
2016-03-03,73.799,93.35
2016-03-04,72.575,85.29999999999998
2016-03-05,67.989,44.83333333333333
2016-03-06,64.217,70.775
2016-03-07,72.979,123.275
2016-03-08,73.46,99.80000000000001
2016-03-09,74.452,96.6
2016-03-10,75.637,116.7
2016-03-11,73.896,80.09666666666666
2016-03-12,69.144,116.1
2016-03-13,64.827,79.89999999999996
2016-03-14,73.798,76.85000000000002
2016-03-15,75.318,141.0
2016-03-16,77.698,168.99999999999997
2016-03-17,77.087,131.8
2016-03-18,74.416,84.95
2016-03-19,66.382,81.88333333333334
2016-03-20,63.217,89.31333333333333
2016-03-21,72.633,73.89333333333335
2016-03-22,71.777,70.85
2016-03-23,73.162,104.29999999999998
2016-03-24,73.99,159.9
2016-03-25,72.529,111.89999999999998
2016-03-26,66.806,100.9666666666667
2016-03-27,63.792,73.90833333333333
2016-03-28,70.451,52.900000000000006
2016-03-29,70.531,119.38333333333331
2016-03-30,70.884,100.4
2016-03-31,71.046,131.40000000000003
2016-04-01,71.619,103.70000000000002
2016-04-02,67.759,145.70000000000002
2016-04-03,66.082,157.0
2016-04-04,75.591,145.00000000000003
2016-04-05,79.248,190.60000000000005
2016-04-06,79.38,145.29999999999998
2016-04-07,73.758,54.20000000000001
2016-04-08,73.603,36.63333333333332
2016-04-09,67.256,35.475
2016-04-10,64.132,66.3
2016-04-11,72.553,75.9
2016-04-12,73.229,85.9
2016-04-13,72.826,75.41666666666666
2016-04-14,72.464,90.85000000000001
2016-04-15,72.319,116.5
2016-04-16,69.715,176.50000000000003
2016-04-17,70.112,201.7
2016-04-18,80.103,195.8
2016-04-19,82.461,208.4
2016-04-20,81.664,186.1
2016-04-21,79.533,138.9
2016-04-22,76.844,83.25000000000001
2016-04-23,68.971,128.35000000000002
2016-04-24,65.718,89.50000000000001
2016-04-25,71.368,74.44999999999999
2016-04-26,71.914,93.60000000000002
2016-04-27,72.139,79.19999999999999
2016-04-28,71.994,79.9
2016-04-29,71.615,74.86666666666666
2016-04-30,64.962,68.15
2016-05-01,63.517,79.75
2016-05-02,74.421,127.89999999999999
2016-05-03,77.887,132.20000000000002
2016-05-04,74.423,59.666666666666664
2016-05-05,73.726,40.25
2016-05-06,72.489,46.68333333333334
2016-05-07,66.229,55.489999999999995
2016-05-08,63.877,65.8
2016-05-09,72.914,66.23333333333332
2016-05-10,73.775,75.16666666666667
2016-05-11,75.812,87.35
2016-05-12,78.68,133.425
2016-05-13,77.802,113.9
2016-05-14,68.468,64.98333333333335
2016-05-15,64.61,59.80000000000002
2016-05-16,74.084,62.35000000000001
2016-05-17,75.913,76.4
2016-05-18,76.333,78.42500000000001
2016-05-19,75.742,60.45000000000001
2016-05-20,71.912,49.733333333333334
2016-05-21,64.219,65.4
2016-05-22,63.054,90.60000000000001
2016-05-23,71.923,74.4
2016-05-24,72.864,59.71666666666667
2016-05-25,71.866,55.78333333333333
2016-05-26,73.946,85.95
2016-05-27,74.846,96.85000000000001
2016-05-28,66.154,70.8
2016-05-29,61.826,61.750000000000014
2016-05-30,64.512,80.7
2016-05-31,73.729,83.60000000000002
2016-06-01,77.011,92.98333333333332
2016-06-02,84.64,196.73333333333335
2016-06-03,90.485,238.4
2016-06-04,82.331,212.9
2016-06-05,70.634,112.4
2016-06-06,75.091,90.58333333333334
2016-06-07,76.109,96.43333333333334
2016-06-08,80.568,124.36666666666667
2016-06-09,79.768,101.35
2016-06-10,78.938,115.7
2016-06-11,69.184,46.18666666666668
2016-06-12,65.015,63.50000000000001
2016-06-13,73.992,68.89999999999999
2016-06-14,74.367,71.76666666666667
2016-06-15,74.734,73.93333333333334
2016-06-16,76.778,126.10000000000004
2016-06-17,81.403,211.65
2016-06-18,84.543,299.6000000000001
2016-06-19,95.685,414.7000000000001
2016-06-20,119.921,466.76666666666665
2016-06-21,109.709,272.1
2016-06-22,98.925,218.3
2016-06-23,93.754,177.2
2016-06-24,89.252,155.05000000000004
2016-06-25,81.012,183.85
2016-06-26,83.132,230.5
2016-06-27,101.994,277.9
2016-06-28,101.075,249.5
2016-06-29,101.8,247.2
2016-06-30,98.809,200.30000000000004
2016-07-01,92.861,171.70000000000005
2016-07-02,80.352,152.55
2016-07-03,73.529,124.25
2016-07-04,72.369,118.65000000000002
2016-07-05,82.978,132.10000000000002
2016-07-06,83.625,125.35000000000004
2016-07-07,85.669,152.20000000000002
2016-07-08,86.983,165.5
2016-07-09,83.378,203.9
2016-07-10,81.326,191.3
2016-07-11,89.261,175.7833333333333
2016-07-12,89.69,171.06666666666666
2016-07-13,92.895,202.7
2016-07-14,94.014,204.78333333333333
2016-07-15,92.037,186.5
2016-07-16,82.139,165.4
2016-07-17,77.337,160.55
2016-07-18,90.219,190.01666666666665
2016-07-19,95.01,249.0
2016-07-20,101.023,312.8
2016-07-21,104.996,336.1
2016-07-22,112.016,365.2000000000001
2016-07-23,101.569,318.0
2016-07-24,93.545,289.90000000000003
2016-07-25,106.877,292.0999999999999
2016-07-26,109.108,306.99999999999994
2016-07-27,107.113,304.8
2016-07-28,106.463,287.29999999999995
2016-07-29,106.998,298.9
2016-07-30,99.463,259.7
2016-07-31,93.404,240.7
2016-08-01,101.264,226.4
2016-08-02,97.658,198.2333333333333
2016-08-03,96.271,203.2
2016-08-04,95.416,199.91666666666663
2016-08-05,92.863,176.69999999999996
2016-08-06,83.932,158.8
2016-08-07,80.973,161.75000000000003
2016-08-08,91.928,163.05
2016-08-09,92.207,176.14999999999998
2016-08-10,90.175,163.91666666666666
2016-08-11,90.132,175.14999999999998
2016-08-12,91.034,194.6
2016-08-13,90.138,252.80000000000004
2016-08-14,93.478,325.2
2016-08-15,105.496,322.29999999999995
2016-08-16,100.338,282.29999999999995
2016-08-17,96.17,262.3
2016-08-18,91.284,199.40000000000003
2016-08-19,91.198,206.6
2016-08-20,81.4,179.29999999999998
2016-08-21,81.115,214.9
2016-08-22,92.138,204.3
2016-08-23,92.015,206.4
2016-08-24,91.706,203.79999999999995
2016-08-25,86.866,152.95000000000002
2016-08-26,82.631,121.76666666666672
2016-08-27,74.918,119.96666666666668
2016-08-28,77.578,198.3
2016-08-29,95.749,235.5
2016-08-30,102.04,263.5
2016-08-31,101.791,258.3
2016-09-01,95.559,202.7
2016-09-02,88.122,148.00000000000003
2016-09-03,75.349,125.95000000000002
2016-09-04,68.559,101.08333333333336
2016-09-05,69.709,110.63333333333334
2016-09-06,82.331,138.70000000000005
2016-09-07,84.839,142.10000000000002
2016-09-08,84.018,134.91666666666669
2016-09-09,84.821,154.04999999999998
2016-09-10,80.06,190.4
2016-09-11,74.365,149.59999999999997
2016-09-12,78.757,87.36666666666667
2016-09-13,75.803,66.47500000000002
2016-09-14,74.839,107.2
2016-09-15,77.2,131.49999999999997
2016-09-16,80.072,137.90000000000003
2016-09-17,78.647,185.9
2016-09-18,84.609,270.50000000000006
2016-09-19,90.585,252.30000000000007
2016-09-20,96.458,253.30000000000004
2016-09-21,98.734,219.4
2016-09-22,83.688,142.45000000000002
2016-09-23,79.52,139.91666666666669
2016-09-24,78.559,221.7
2016-09-25,83.921,309.30000000000007
2016-09-26,106.033,350.05000000000007
2016-09-27,105.938,306.5
2016-09-28,104.64,290.1
2016-09-29,102.832,294.4
2016-09-30,97.573,265.49999999999994
2016-10-01,81.347,190.6
2016-10-02,69.841,100.69999999999997
2016-10-03,74.578,125.2
2016-10-04,75.582,96.70000000000002
2016-10-05,74.86,87.95
2016-10-06,76.605,174.1
2016-10-07,80.718,214.2
2016-10-08,76.116,210.4
2016-10-09,73.701,218.0
2016-10-10,81.983,191.6
2016-10-11,75.918,69.38333333333334
2016-10-12,72.76,61.46666666666666
2016-10-13,74.15,105.03333333333336
2016-10-14,74.412,84.08333333333334
2016-10-15,69.421,96.20000000000002
2016-10-16,67.902,106.25
2016-10-17,74.983,77.59166666666668
2016-10-18,74.225,104.04999999999998
2016-10-19,79.131,215.29999999999998
2016-10-20,86.221,246.4
2016-10-21,85.661,228.8
2016-10-22,72.213,155.5
2016-10-23,66.605,122.30000000000001
2016-10-24,76.275,104.85
2016-10-25,74.742,97.6
2016-10-26,76.035,131.0
2016-10-27,76.063,157.4
2016-10-28,76.192,117.7
2016-10-29,69.848,143.39999999999998
2016-10-30,66.693,70.39999999999998
2016-10-31,72.447,66.20000000000002
2016-11-01,73.235,69.66666666666667
2016-11-02,74.827,190.3
2016-11-03,79.107,224.7
2016-11-04,78.415,142.9
2016-11-05,70.542,135.29999999999998
2016-11-06,70.275,100.13333333333333
2016-11-07,76.744,142.60000000000002
2016-11-08,81.491,218.54999999999995
2016-11-09,87.098,238.20000000000005
2016-11-10,85.884,201.3
2016-11-11,80.471,169.70000000000002
2016-11-12,72.341,135.2
2016-11-13,71.212,169.39999999999995
2016-11-14,81.358,171.79999999999998
2016-11-15,76.872,116.49999999999999
2016-11-16,74.526,65.60000000000001
2016-11-17,73.964,83.70000000000002
2016-11-18,74.116,120.69999999999999
2016-11-19,67.466,124.6
2016-11-20,65.814,74.97500000000001
2016-11-21,72.638,62.83333333333333
2016-11-22,73.36,101.95
2016-11-23,73.118,113.95000000000002
2016-11-24,65.804,121.0
2016-11-25,66.952,131.2
2016-11-26,67.354,146.82500000000005
2016-11-27,67.01,97.6
2016-11-28,75.085,108.0
2016-11-29,75.186,113.19999999999999
2016-11-30,76.212,131.89999999999998
2016-12-01,76.056,103.19999999999997
2016-12-02,75.878,55.6
2016-12-03,71.591,94.29999999999998
2016-12-04,68.488,135.70000000000002
2016-12-05,74.097,117.41666666666667
2016-12-06,74.283,77.08333333333334
2016-12-07,74.898,110.33333333333333
2016-12-08,75.498,99.9
2016-12-09,75.116,90.90000000000002
2016-12-10,68.923,82.46666666666667
2016-12-11,66.907,38.62500000000001
2016-12-12,73.517,56.11666666666666
2016-12-13,73.782,64.125
2016-12-14,74.464,107.50000000000001
2016-12-15,75.75,77.95000000000002
2016-12-16,74.73,75.53666666666665
2016-12-17,70.966,149.0
2016-12-18,71.052,161.2
2016-12-19,78.356,153.49999999999997
2016-12-20,78.284,144.3
2016-12-21,75.616,56.7
2016-12-22,75.322,93.13333333333334
2016-12-23,74.478,96.75666666666667
2016-12-24,69.852,153.3
2016-12-25,68.676,195.6
2016-12-26,72.152,167.39999999999998
2016-12-27,76.256,153.50000000000003
2016-12-28,74.015,136.1
2016-12-29,72.815,116.5
2016-12-30,71.652,55.35000000000001
2016-12-31,69.268,130.7
2017-01-01,66.94,168.46666666666673
2017-01-02,70.779,130.45000000000005
2017-01-03,75.469,136.95000000000002
2017-01-04,74.983,110.16499999999996
2017-01-05,74.04,71.82333333333332
2017-01-06,72.329,92.85000000000001
2017-01-07,68.404,91.80000000000001
2017-01-08,64.489,111.1
2017-01-09,73.297,72.68333333333335
2017-01-10,75.676,113.28333333333336
2017-01-11,73.722,65.49999999999999
2017-01-12,76.167,122.85
2017-01-13,75.569,120.79999999999995
2017-01-14,68.546,119.4
2017-01-15,66.745,99.73333333333332
2017-01-16,71.985,105.1
2017-01-17,75.782,130.9
2017-01-18,78.435,136.04999999999998
2017-01-19,78.279,94.69999999999996
2017-01-20,79.96,132.17666666666668
2017-01-21,70.67,127.7
2017-01-22,74.135,138.45
2017-01-23,79.657,172.40000000000003
2017-01-24,81.761,212.9000000000001
2017-01-25,80.644,194.7
2017-01-26,80.553,156.25
2017-01-27,78.204,67.1
2017-01-28,71.062,120.5
2017-01-29,67.547,161.0
2017-01-30,74.435,134.2
2017-01-31,73.483,129.7
2017-02-01,73.434,125.85
2017-02-02,74.234,82.75
2017-02-03,74.757,62.00500000000001
2017-02-04,66.796,79.13333333333334
2017-02-05,66.801,128.7733333333333
2017-02-06,76.155,84.51666666666664
2017-02-07,74.843,42.183333333333344
2017-02-08,73.457,67.33333333333334
2017-02-09,73.592,102.35000000000001
2017-02-10,73.501,43.279999999999994
2017-02-11,66.947,53.041666666666664
2017-02-12,63.622,121.1
2017-02-13,70.828,85.40000000000002
2017-02-14,71.042,84.2
2017-02-15,71.581,133.9
2017-02-16,71.896,85.10000000000001
2017-02-17,76.321,46.36
2017-02-18,69.05,69.55
2017-02-19,66.453,102.84166666666668
2017-02-20,72.587,80.96666666666664
2017-02-21,74.444,57.58333333333333
2017-02-22,72.707,91.46666666666667
2017-02-23,74.496,133.49999999999997
2017-02-24,75.328,154.3
2017-02-25,69.842,153.33333333333331
2017-02-26,68.941,139.45000000000005
2017-02-27,77.564,111.05
2017-02-28,75.434,108.89999999999999
2017-03-01,75.988,135.60000000000002
2017-03-02,74.797,151.5
2017-03-03,74.451,141.0
2017-03-04,67.033,88.0
2017-03-05,65.816,107.75
2017-03-06,74.267,113.05000000000001
2017-03-07,74.075,140.5
2017-03-08,75.488,160.0
2017-03-09,77.941,163.7
2017-03-10,77.025,146.9
2017-03-11,69.691,148.70000000000005
2017-03-12,65.844,188.30000000000004
2017-03-13,78.459,190.5
2017-03-14,78.878,196.6
2017-03-15,81.684,199.5
2017-03-16,79.921,134.9
2017-03-17,77.999,138.4
2017-03-18,69.995,120.48333333333335
2017-03-19,66.667,118.33333333333333
