,"Electricity demand, daily sum, (GWh)","Electricity power, daily peak, (GW)","Temperature, daily mean (degC)","Temperature, daily peak (degC)",HDH_5,HDH_6,HDH_7,HDH_8,HDH_9,HDH_10,HDH_11,HDH_12,HDH_13,HDH_14,HDH_15,HDH_16,HDH_17,HDH_18,HDH_19,HDH_20,HDH_21,HDH_22,HDH_23,HDH_24,CDH_5,CDH_6,CDH_7,CDH_8,CDH_9,CDH_10,CDH_11,CDH_12,CDH_13,CDH_14,CDH_15,CDH_16,CDH_17,CDH_18,CDH_19,CDH_20,CDH_21,CDH_22,CDH_23,CDH_24,CDH_25,CDH_26,CDH_27,CDH_28,CDH_29,Holiday,Weekend,Non-workDay,Day Type
2015-07-12,74.887,3.933,23.29583333333333,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000007,5.600000000000001,11.800000000000004,19.800000000000004,29.6,41.2,53.900000000000006,439.1,415.1,391.1,367.1,343.1,319.1000000000001,295.1,271.1,247.1,223.1,199.1,175.1,151.1,128.89999999999998,108.7,90.89999999999998,74.89999999999998,60.7,48.3,36.99999999999999,27.2,18.2,10.699999999999996,4.899999999999995,0.7999999999999972,False,True,True,Non-Working Day
2015-07-13,87.895,4.788,24.222916666666663,31.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000021,4.500000000000004,11.3,20.5,30.9,42.9,461.35,437.35,413.35,389.35,365.35,341.35,317.35,293.35,269.35,245.35,221.35,197.35,173.35,149.35,126.25,105.85,88.65,73.85000000000001,60.24999999999999,48.24999999999999,36.85,27.25,18.55,11.349999999999998,5.25,False,False,False,Working Day
2015-07-14,87.634,4.666,23.262500000000003,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000036,6.200000000000006,14.600000000000003,25.700000000000003,38.5,52.900000000000006,438.3,414.30000000000007,390.30000000000007,366.30000000000007,342.30000000000007,318.30000000000007,294.30000000000007,270.30000000000007,246.3,222.3,198.3,174.29999999999998,150.29999999999998,126.29999999999998,103.29999999999998,84.5,68.9,56.0,44.80000000000001,35.2,26.200000000000003,17.6,10.8,5.199999999999999,2.0,False,False,False,Working Day
2015-07-15,86.326,4.582,22.42916666666667,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6500000000000092,8.25000000000001,19.65000000000001,33.45,47.8,63.50000000000001,418.30000000000007,394.30000000000007,370.30000000000007,346.3000000000001,322.30000000000007,298.3,274.3,250.3,226.3,202.3,178.29999999999998,154.29999999999998,130.29999999999998,106.29999999999998,82.95000000000002,66.55000000000001,53.95000000000001,43.750000000000014,34.10000000000001,25.800000000000004,17.800000000000004,10.6,4.600000000000001,0.6000000000000014,0.0,False,False,False,Working Day
2015-07-16,87.533,4.66,22.681249999999995,28.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.450000000000003,11.050000000000004,20.050000000000004,32.35,46.35,60.35,424.35,400.35,376.35,352.35,328.35,304.35,280.35,256.35,232.35,208.35,184.35,160.35,136.35,112.35,90.8,75.4,60.4,48.7,38.7,28.7,19.7,11.7,4.899999999999999,0.8999999999999986,0.0,False,False,False,Working Day
2015-07-17,87.836,4.751,23.558333333333337,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,18.0,26.0,36.2,48.2,62.2,445.4,421.4,397.4,373.4,349.4,325.4,301.4,277.4,253.39999999999995,229.4,205.4,181.4,157.39999999999998,136.39999999999998,119.4,103.4,87.4,73.6,61.6,51.6,42.2,33.2,25.2,18.0,11.1,False,False,False,Working Day
2015-07-18,74.173,3.627,21.972916666666663,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.400000000000002,9.999999999999996,24.799999999999997,43.19999999999999,63.05,407.3500000000001,383.35000000000014,359.35000000000014,335.35000000000014,311.3500000000001,287.35,263.35,239.35,215.35,191.35,167.34999999999997,143.34999999999997,119.34999999999998,95.34999999999998,71.35000000000001,48.75,33.349999999999994,24.149999999999995,18.55,14.4,11.0,8.0,5.0,2.0,0.3999999999999986,False,True,True,Non-Working Day
2015-07-19,85.076,4.727,26.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.400000000000002,9.200000000000005,16.300000000000004,504.0,480.0,456.0,432.0,408.0,384.0,359.9999999999999,335.9999999999999,311.9999999999999,287.9999999999999,263.99999999999994,240.0,216.00000000000003,192.00000000000003,168.00000000000003,144.00000000000003,120.00000000000004,98.40000000000003,81.20000000000005,64.30000000000001,51.70000000000001,42.100000000000016,34.000000000000014,26.00000000000001,18.00000000000001,False,True,True,Non-Working Day
2015-07-20,97.677,5.064,25.875,29.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1999999999999993,1.8000000000000078,501.0,477.0,453.0,429.0,405.0,381.0,357.0,333.0,309.0,285.0,261.0,237.00000000000003,213.00000000000009,189.00000000000003,165.00000000000003,141.00000000000003,117.0,93.0,69.19999999999999,46.8,31.0,19.4,10.199999999999996,3.799999999999997,0.3999999999999986,False,False,False,Working Day
2015-07-21,92.393,4.775,23.55416666666667,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.999999999999997,14.099999999999998,29.65,445.3,421.3,397.3,373.3,349.3,325.29999999999995,301.29999999999995,277.29999999999995,253.3,229.3,205.3,181.3,157.30000000000004,133.29999999999998,109.3,85.3,61.3,41.29999999999998,27.4,18.95,11.55,5.550000000000001,1.1999999999999993,0.0,0.0,False,False,False,Working Day
